date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2016,クチコミ総合評価,2.83
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2017,クチコミ総合評価,2.86
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2018,クチコミ総合評価,2.88
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2019,クチコミ総合評価,2.94
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2020,クチコミ総合評価,3.16
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2021,クチコミ総合評価,3.16
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2022,クチコミ総合評価,3
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2023,クチコミ総合評価,2.99
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2024,クチコミ総合評価,3.09
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2025,クチコミ総合評価,2.94
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2016,待遇面の満足度,3.38
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2017,待遇面の満足度,3.28
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2018,待遇面の満足度,3.48
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2019,待遇面の満足度,3.66
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2020,待遇面の満足度,3.7
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2021,待遇面の満足度,3.78
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2022,待遇面の満足度,3.65
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2023,待遇面の満足度,3.93
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2024,待遇面の満足度,4.11
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2025,待遇面の満足度,3.88
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2016,社員の士気,2.5
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2017,社員の士気,2.47
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2018,社員の士気,2.42
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2019,社員の士気,2.36
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2020,社員の士気,2.5
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2021,社員の士気,2.56
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2022,社員の士気,2.57
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2023,社員の士気,2.62
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2024,社員の士気,2.78
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2025,社員の士気,2.75
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2016,風通しの良さ,2.8
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2017,風通しの良さ,2.88
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2018,風通しの良さ,2.84
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2019,風通しの良さ,2.8
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2020,風通しの良さ,3
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2021,風通しの良さ,3.12
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2022,風通しの良さ,3
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2023,風通しの良さ,2.85
2025/6/30,ＳＭＣ,6273,TOPIX Large70,a0910000000FrIX,2024,風通しの良さ,2.89
