date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,クチコミ総合評価,3.06
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,クチコミ総合評価,3.06
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,クチコミ総合評価,3.06
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,クチコミ総合評価,3.05
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,クチコミ総合評価,3.05
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,クチコミ総合評価,3.05
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,待遇面の満足度,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,待遇面の満足度,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,待遇面の満足度,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,待遇面の満足度,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,待遇面の満足度,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,待遇面の満足度,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,社員の士気,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,風通しの良さ,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,風通しの良さ,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,風通しの良さ,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,風通しの良さ,3.29
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,風通しの良さ,3.29
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,風通しの良さ,3.29
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,社員の相互尊重,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,社員の相互尊重,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,社員の相互尊重,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,社員の相互尊重,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,社員の相互尊重,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,社員の相互尊重,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,20代成長環境,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,20代成長環境,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,20代成長環境,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,20代成長環境,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,20代成長環境,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,20代成長環境,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,人材の長期育成,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,人材の長期育成,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,人材の長期育成,2.9
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,人材の長期育成,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,人材の長期育成,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,人材の長期育成,2.81
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,法令順守意識,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,法令順守意識,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,法令順守意識,3
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,法令順守意識,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,法令順守意識,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,法令順守意識,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,人事評価の適正感,3.17
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,有給休暇消化率,75
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2015,有給休暇消化率,75
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2016,有給休暇消化率,75
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2021,有給休暇消化率,87.5
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2022,有給休暇消化率,87.5
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2023,有給休暇消化率,87.5
2025/6/30,ローツェ,6323,TOPIX Mid400,a0910000000FrKp,2014,残業時間(月間),10
