date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2016,クチコミ総合評価,3.16
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2017,クチコミ総合評価,3.23
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2018,クチコミ総合評価,3.28
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2019,クチコミ総合評価,3.32
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2020,クチコミ総合評価,3.39
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2021,クチコミ総合評価,3.4
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2022,クチコミ総合評価,3.5
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2023,クチコミ総合評価,3.59
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2024,クチコミ総合評価,3.7
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2025,クチコミ総合評価,3.5
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2016,待遇面の満足度,3.26
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2017,待遇面の満足度,3.4
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2018,待遇面の満足度,3.5
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2019,待遇面の満足度,3.64
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2020,待遇面の満足度,3.89
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2021,待遇面の満足度,3.88
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2022,待遇面の満足度,3.86
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2023,待遇面の満足度,4.04
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2024,待遇面の満足度,4.23
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2025,待遇面の満足度,4.24
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2016,社員の士気,2.8
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2017,社員の士気,2.82
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2018,社員の士気,2.85
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2019,社員の士気,2.82
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2020,社員の士気,2.84
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2021,社員の士気,2.93
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2022,社員の士気,3
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2023,社員の士気,3.11
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2024,社員の士気,3.05
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2025,社員の士気,2.94
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2016,風通しの良さ,3.24
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2017,風通しの良さ,3.36
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2018,風通しの良さ,3.43
2025/6/30,荏原製作所,6361,TOPIX Mid400,a0910000006AarC,2019,風通しの良さ,3.43
