date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2016,クチコミ総合評価,3.17
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2017,クチコミ総合評価,3.18
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2018,クチコミ総合評価,3.15
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2019,クチコミ総合評価,3.17
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2020,クチコミ総合評価,3.22
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2021,クチコミ総合評価,3.23
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2022,クチコミ総合評価,3.22
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2023,クチコミ総合評価,3.28
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2024,クチコミ総合評価,3.35
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2025,クチコミ総合評価,3.39
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2016,待遇面の満足度,2.99
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2017,待遇面の満足度,2.96
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2018,待遇面の満足度,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2019,待遇面の満足度,2.94
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2020,待遇面の満足度,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2021,待遇面の満足度,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2022,待遇面の満足度,2.9
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2023,待遇面の満足度,2.88
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2024,待遇面の満足度,2.92
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2025,待遇面の満足度,3.14
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2016,社員の士気,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2017,社員の士気,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2018,社員の士気,2.85
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2019,社員の士気,2.85
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2020,社員の士気,2.89
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2021,社員の士気,2.89
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2022,社員の士気,2.9
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2023,社員の士気,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2024,社員の士気,2.96
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2025,社員の士気,2.91
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2016,風通しの良さ,3.3
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2017,風通しの良さ,3.31
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2018,風通しの良さ,3.31
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2019,風通しの良さ,3.31
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2020,風通しの良さ,3.34
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2021,風通しの良さ,3.31
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2022,風通しの良さ,3.28
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2023,風通しの良さ,3.37
2025/6/30,ダイキン工業,6367,TOPIX Core30,a0910000000FrLQ,2024,風通しの良さ,3.45
