date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2016,クチコミ総合評価,3.75
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2017,クチコミ総合評価,3.74
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2018,クチコミ総合評価,3.76
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2019,クチコミ総合評価,3.69
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2020,クチコミ総合評価,3.75
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2021,クチコミ総合評価,3.71
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2022,クチコミ総合評価,3.63
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2023,クチコミ総合評価,3.74
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2024,クチコミ総合評価,3.83
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2025,クチコミ総合評価,3.21
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2016,待遇面の満足度,4.36
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2017,待遇面の満足度,4.37
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2018,待遇面の満足度,4.34
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2019,待遇面の満足度,4.15
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2020,待遇面の満足度,4.16
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2021,待遇面の満足度,4.06
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2022,待遇面の満足度,4.04
2025/6/30,栗田工業,6370,TOPIX Mid400,a0910000000FrLT,2023,待遇面の満足度,4.34
