date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2016,クチコミ総合評価,3.01
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2017,クチコミ総合評価,3.07
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2018,クチコミ総合評価,3
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2019,クチコミ総合評価,3.05
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2020,クチコミ総合評価,3.09
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2021,クチコミ総合評価,3.02
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2022,クチコミ総合評価,3.08
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2023,クチコミ総合評価,3.02
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2024,クチコミ総合評価,3.42
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2025,クチコミ総合評価,3.17
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2016,待遇面の満足度,2.88
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2017,待遇面の満足度,2.85
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2018,待遇面の満足度,2.75
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2019,待遇面の満足度,2.81
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2020,待遇面の満足度,2.83
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2021,待遇面の満足度,2.7
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2022,待遇面の満足度,2.67
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2023,待遇面の満足度,2.54
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2024,待遇面の満足度,2.67
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2025,待遇面の満足度,3
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2016,社員の士気,2.63
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2017,社員の士気,2.69
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2018,社員の士気,2.65
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2019,社員の士気,2.62
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2020,社員の士気,2.73
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2021,社員の士気,2.66
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2022,社員の士気,2.55
2025/6/30,タダノ,6395,TOPIX Mid400,a0910000000FrLm,2023,社員の士気,2.48
