date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2016,クチコミ総合評価,2.85
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2017,クチコミ総合評価,2.84
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2018,クチコミ総合評価,2.81
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2019,クチコミ総合評価,2.79
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2020,クチコミ総合評価,2.79
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2021,クチコミ総合評価,2.83
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2022,クチコミ総合評価,2.87
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2023,クチコミ総合評価,2.84
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2024,クチコミ総合評価,3.02
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2025,クチコミ総合評価,3.05
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2016,待遇面の満足度,2.89
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2017,待遇面の満足度,2.93
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2018,待遇面の満足度,2.98
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2019,待遇面の満足度,2.93
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2020,待遇面の満足度,2.97
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2021,待遇面の満足度,2.97
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2022,待遇面の満足度,3.08
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2023,待遇面の満足度,3.12
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2024,待遇面の満足度,3.24
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2025,待遇面の満足度,3.28
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2016,社員の士気,2.47
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2017,社員の士気,2.44
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2018,社員の士気,2.43
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2019,社員の士気,2.5
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2020,社員の士気,2.49
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2021,社員の士気,2.5
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2022,社員の士気,2.52
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2023,社員の士気,2.5
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2024,社員の士気,2.69
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2025,社員の士気,2.86
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2016,風通しの良さ,2.4
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2017,風通しの良さ,2.43
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2018,風通しの良さ,2.4
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2019,風通しの良さ,2.41
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2020,風通しの良さ,2.49
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2021,風通しの良さ,2.56
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2022,風通しの良さ,2.67
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2023,風通しの良さ,2.59
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2024,風通しの良さ,2.88
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2025,風通しの良さ,2.86
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2016,社員の相互尊重,2.82
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2017,社員の相互尊重,2.82
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2018,社員の相互尊重,2.65
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2019,社員の相互尊重,2.68
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2020,社員の相互尊重,2.66
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2021,社員の相互尊重,2.67
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2022,社員の相互尊重,2.65
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2023,社員の相互尊重,2.53
2025/6/30,フジテック,6406,TOPIX Mid400,a0910000000FrLu,2024,社員の相互尊重,2.63
