date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2016,クチコミ総合評価,2.67
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2017,クチコミ総合評価,2.69
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2018,クチコミ総合評価,2.72
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2019,クチコミ総合評価,2.7
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2020,クチコミ総合評価,2.74
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2021,クチコミ総合評価,2.77
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2022,クチコミ総合評価,2.85
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2023,クチコミ総合評価,2.83
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2024,クチコミ総合評価,2.95
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2025,クチコミ総合評価,3.35
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2016,待遇面の満足度,2.79
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2017,待遇面の満足度,2.79
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2018,待遇面の満足度,2.78
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2019,待遇面の満足度,2.68
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2020,待遇面の満足度,2.76
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2021,待遇面の満足度,2.77
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2022,待遇面の満足度,2.78
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2023,待遇面の満足度,2.6
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2024,待遇面の満足度,2.58
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2025,待遇面の満足度,2.86
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2016,社員の士気,2.38
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2017,社員の士気,2.34
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2018,社員の士気,2.37
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2019,社員の士気,2.34
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2020,社員の士気,2.35
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2021,社員の士気,2.34
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2022,社員の士気,2.44
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2023,社員の士気,2.45
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2024,社員の士気,2.42
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2025,社員の士気,2.71
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2016,風通しの良さ,2.41
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2017,風通しの良さ,2.48
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2018,風通しの良さ,2.41
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2019,風通しの良さ,2.37
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2020,風通しの良さ,2.49
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2021,風通しの良さ,2.57
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2022,風通しの良さ,2.7
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2023,風通しの良さ,2.95
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2024,風通しの良さ,3.32
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2025,風通しの良さ,3.98
2025/6/30,アマノ,6436,TOPIX Mid400,a0910000000FrMG,2016,社員の相互尊重,2.61
