date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2016,クチコミ総合評価,3.1
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2017,クチコミ総合評価,3.06
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2018,クチコミ総合評価,3.09
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2019,クチコミ総合評価,3.04
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2020,クチコミ総合評価,3.05
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2021,クチコミ総合評価,3.07
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2022,クチコミ総合評価,3.09
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2023,クチコミ総合評価,3.07
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2024,クチコミ総合評価,3.35
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2025,クチコミ総合評価,3.23
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2016,待遇面の満足度,2.78
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2017,待遇面の満足度,2.83
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2018,待遇面の満足度,2.84
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2019,待遇面の満足度,2.81
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2020,待遇面の満足度,2.8
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2021,待遇面の満足度,2.86
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2022,待遇面の満足度,2.92
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2023,待遇面の満足度,3
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2024,待遇面の満足度,3.64
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2025,待遇面の満足度,4.11
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2016,社員の士気,2.7
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2017,社員の士気,2.63
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2018,社員の士気,2.65
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2019,社員の士気,2.59
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2020,社員の士気,2.64
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2021,社員の士気,2.66
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2022,社員の士気,2.72
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2023,社員の士気,2.88
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2024,社員の士気,2.94
2025/6/30,グローリー,6457,TOPIX Mid400,a0910000000FrMR,2025,社員の士気,2.83
