date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2016,クチコミ総合評価,3.21
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2017,クチコミ総合評価,3.18
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2018,クチコミ総合評価,3.27
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2019,クチコミ総合評価,3.45
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2020,クチコミ総合評価,3.51
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2021,クチコミ総合評価,3.48
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2022,クチコミ総合評価,3.7
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2023,クチコミ総合評価,3.91
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2024,クチコミ総合評価,3.83
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2025,クチコミ総合評価,4.03
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2016,待遇面の満足度,2.75
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2017,待遇面の満足度,2.81
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2018,待遇面の満足度,2.97
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2019,待遇面の満足度,3.27
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2020,待遇面の満足度,3.39
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2021,待遇面の満足度,3.4
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2022,待遇面の満足度,3.67
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2023,待遇面の満足度,3.8
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2024,待遇面の満足度,3.59
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2025,待遇面の満足度,3.65
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2016,社員の士気,2.91
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2017,社員の士気,2.88
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2018,社員の士気,2.91
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2019,社員の士気,3.05
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2020,社員の士気,3.1
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2021,社員の士気,3.06
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2022,社員の士気,3.31
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2023,社員の士気,3.39
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2024,社員の士気,3.23
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2025,社員の士気,3.28
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2016,風通しの良さ,3.41
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2017,風通しの良さ,3.34
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2018,風通しの良さ,3.51
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2019,風通しの良さ,3.71
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2020,風通しの良さ,3.7
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2021,風通しの良さ,3.7
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2022,風通しの良さ,3.79
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2023,風通しの良さ,3.95
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2024,風通しの良さ,3.78
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2025,風通しの良さ,3.88
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2016,社員の相互尊重,3.32
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2017,社員の相互尊重,3.27
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2018,社員の相互尊重,3.3
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2019,社員の相互尊重,3.48
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2020,社員の相互尊重,3.43
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2021,社員の相互尊重,3.48
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2022,社員の相互尊重,3.44
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2023,社員の相互尊重,3.45
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2024,社員の相互尊重,3.38
2025/6/30,セガサミーホールディングス,6460,TOPIX Mid400,a0910000002WzNi,2025,社員の相互尊重,3.53
