date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2016,クチコミ総合評価,3.05
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2017,クチコミ総合評価,3.04
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2018,クチコミ総合評価,3.06
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2019,クチコミ総合評価,3.06
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2020,クチコミ総合評価,3.05
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2021,クチコミ総合評価,3.05
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2022,クチコミ総合評価,3.04
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2023,クチコミ総合評価,3.02
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2024,クチコミ総合評価,3.03
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2025,クチコミ総合評価,3.12
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2016,待遇面の満足度,3.73
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2017,待遇面の満足度,3.73
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2018,待遇面の満足度,3.74
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2019,待遇面の満足度,3.72
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2020,待遇面の満足度,3.71
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2021,待遇面の満足度,3.69
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2022,待遇面の満足度,3.65
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2023,待遇面の満足度,3.61
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2024,待遇面の満足度,3.54
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2025,待遇面の満足度,3.7
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2016,社員の士気,2.49
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2017,社員の士気,2.47
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2018,社員の士気,2.48
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2019,社員の士気,2.46
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2020,社員の士気,2.45
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2021,社員の士気,2.45
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2022,社員の士気,2.43
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2023,社員の士気,2.4
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2024,社員の士気,2.46
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2025,社員の士気,2.41
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2016,風通しの良さ,2.69
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2017,風通しの良さ,2.68
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2018,風通しの良さ,2.74
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2019,風通しの良さ,2.76
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2020,風通しの良さ,2.75
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2021,風通しの良さ,2.76
2025/6/30,日本精工,6471,TOPIX Mid400,a0910000000FrMc,2022,風通しの良さ,2.75
