date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,クチコミ総合評価,3.04
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,クチコミ総合評価,3.03
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,クチコミ総合評価,3.04
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,クチコミ総合評価,2.99
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,クチコミ総合評価,3.01
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,クチコミ総合評価,3.03
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,クチコミ総合評価,3.04
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,クチコミ総合評価,3.25
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,クチコミ総合評価,3.4
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,クチコミ総合評価,3.35
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,待遇面の満足度,3.27
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,待遇面の満足度,3.26
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,待遇面の満足度,3.22
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,待遇面の満足度,3.1
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,待遇面の満足度,3.07
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,待遇面の満足度,3.16
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,待遇面の満足度,3.23
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,待遇面の満足度,3.63
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,待遇面の満足度,3.81
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,待遇面の満足度,3.72
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,社員の士気,2.5
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,社員の士気,2.5
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,社員の士気,2.48
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,社員の士気,2.4
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,社員の士気,2.43
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,社員の士気,2.45
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,社員の士気,2.33
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,社員の士気,2.5
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,社員の士気,2.64
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,社員の士気,2.7
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,風通しの良さ,3.17
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,風通しの良さ,3.1
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,風通しの良さ,3.18
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,風通しの良さ,3.18
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,風通しの良さ,3.21
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,風通しの良さ,3.2
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,風通しの良さ,3.31
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,風通しの良さ,3.47
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,風通しの良さ,3.81
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,風通しの良さ,3.88
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,社員の相互尊重,2.91
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,社員の相互尊重,2.88
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,社員の相互尊重,2.87
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,社員の相互尊重,2.82
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,社員の相互尊重,2.81
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,社員の相互尊重,2.78
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,社員の相互尊重,2.67
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,社員の相互尊重,2.79
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,社員の相互尊重,2.85
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,社員の相互尊重,3
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,20代成長環境,2.79
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,20代成長環境,2.76
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,20代成長環境,2.71
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,20代成長環境,2.69
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,20代成長環境,2.74
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,20代成長環境,2.75
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,20代成長環境,2.75
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,20代成長環境,2.9
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,20代成長環境,3.12
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,20代成長環境,2.9
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,人材の長期育成,2.59
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,人材の長期育成,2.6
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,人材の長期育成,2.59
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,人材の長期育成,2.54
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,人材の長期育成,2.55
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,人材の長期育成,2.58
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,人材の長期育成,2.53
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2023,人材の長期育成,2.75
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2024,人材の長期育成,2.79
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2025,人材の長期育成,2.7
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2016,法令順守意識,4.05
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2017,法令順守意識,4.13
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2018,法令順守意識,4.22
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2019,法令順守意識,4.27
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2020,法令順守意識,4.31
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2021,法令順守意識,4.38
2025/6/30,ＮＴＮ,6472,TOPIX Mid400,a0910000000FrMd,2022,法令順守意識,4.43
