date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,クチコミ総合評価,3.14
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,クチコミ総合評価,3.14
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,クチコミ総合評価,3.15
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,クチコミ総合評価,3.1
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,クチコミ総合評価,3.09
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,クチコミ総合評価,3.07
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,クチコミ総合評価,3.12
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,クチコミ総合評価,3.11
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,クチコミ総合評価,3.07
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,クチコミ総合評価,3.18
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,待遇面の満足度,3.47
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,待遇面の満足度,3.48
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,待遇面の満足度,3.51
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,待遇面の満足度,3.42
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,待遇面の満足度,3.38
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,待遇面の満足度,3.32
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,待遇面の満足度,3.34
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,待遇面の満足度,3.23
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,待遇面の満足度,3.11
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,待遇面の満足度,3.56
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,社員の士気,2.57
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,社員の士気,2.59
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,社員の士気,2.57
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,社員の士気,2.52
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,社員の士気,2.53
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,社員の士気,2.53
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,社員の士気,2.61
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,社員の士気,2.62
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,社員の士気,2.66
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,社員の士気,2.7
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,風通しの良さ,3.05
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,風通しの良さ,3.04
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,風通しの良さ,3.03
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,風通しの良さ,2.96
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,風通しの良さ,2.94
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,風通しの良さ,2.93
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,風通しの良さ,2.97
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,風通しの良さ,2.98
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,風通しの良さ,3
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,風通しの良さ,2.96
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,社員の相互尊重,2.89
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,社員の相互尊重,2.91
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,社員の相互尊重,2.91
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,社員の相互尊重,2.9
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,社員の相互尊重,2.9
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,社員の相互尊重,2.9
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,社員の相互尊重,2.96
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,社員の相互尊重,2.99
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,社員の相互尊重,2.96
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,社員の相互尊重,2.96
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,20代成長環境,2.73
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,20代成長環境,2.7
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,20代成長環境,2.68
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,20代成長環境,2.63
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,20代成長環境,2.63
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,20代成長環境,2.62
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,20代成長環境,2.64
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,20代成長環境,2.68
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,20代成長環境,2.64
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,20代成長環境,2.61
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,人材の長期育成,2.7
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,人材の長期育成,2.69
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,人材の長期育成,2.7
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,人材の長期育成,2.63
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,人材の長期育成,2.63
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,人材の長期育成,2.53
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,人材の長期育成,2.54
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,人材の長期育成,2.56
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,人材の長期育成,2.5
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2025,人材の長期育成,2.61
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2016,法令順守意識,4.43
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2017,法令順守意識,4.46
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2018,法令順守意識,4.52
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2019,法令順守意識,4.57
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2020,法令順守意識,4.56
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2021,法令順守意識,4.54
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2022,法令順守意識,4.61
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2023,法令順守意識,4.56
2025/6/30,ジェイテクト,6473,TOPIX Mid400,a0910000000FrMe,2024,法令順守意識,4.54
