date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2016,クチコミ総合評価,2.91
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2017,クチコミ総合評価,2.89
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2018,クチコミ総合評価,2.92
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2019,クチコミ総合評価,2.95
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2020,クチコミ総合評価,2.9
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2021,クチコミ総合評価,2.87
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2022,クチコミ総合評価,2.9
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2023,クチコミ総合評価,2.86
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2024,クチコミ総合評価,2.86
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2025,クチコミ総合評価,3.1
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2016,待遇面の満足度,2.67
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2017,待遇面の満足度,2.62
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2018,待遇面の満足度,2.7
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2019,待遇面の満足度,2.75
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2020,待遇面の満足度,2.74
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2021,待遇面の満足度,2.76
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2022,待遇面の満足度,2.8
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2023,待遇面の満足度,2.82
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2024,待遇面の満足度,2.78
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2025,待遇面の満足度,3
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2016,社員の士気,2.69
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2017,社員の士気,2.65
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2018,社員の士気,2.72
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2019,社員の士気,2.78
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2020,社員の士気,2.77
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2021,社員の士気,2.75
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2022,社員の士気,2.77
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2023,社員の士気,2.75
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2024,社員の士気,2.7
2025/6/30,ミネベアミツミ,6479,TOPIX Mid400,a0910000000FrMi,2025,社員の士気,2.73
