date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2016,クチコミ総合評価,3.54
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2017,クチコミ総合評価,3.54
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2018,クチコミ総合評価,3.55
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2019,クチコミ総合評価,3.57
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2020,クチコミ総合評価,3.63
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2021,クチコミ総合評価,3.65
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2022,クチコミ総合評価,3.68
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2023,クチコミ総合評価,3.71
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2024,クチコミ総合評価,3.78
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2025,クチコミ総合評価,3.93
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2016,待遇面の満足度,3.8
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2017,待遇面の満足度,3.81
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2018,待遇面の満足度,3.81
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2019,待遇面の満足度,3.82
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2020,待遇面の満足度,3.83
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2021,待遇面の満足度,3.81
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2022,待遇面の満足度,3.79
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2023,待遇面の満足度,3.85
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2024,待遇面の満足度,3.9
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2025,待遇面の満足度,4
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2016,社員の士気,2.9
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2017,社員の士気,2.88
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2018,社員の士気,2.88
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2019,社員の士気,2.9
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2020,社員の士気,2.95
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2021,社員の士気,2.99
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2022,社員の士気,3.02
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2023,社員の士気,3.07
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2024,社員の士気,3.13
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2025,社員の士気,3.3
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2016,風通しの良さ,3.16
2025/6/30,日立製作所,6501,TOPIX Core30,a0910000000FrN0,2017,風通しの良さ,3.17
