date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2016,クチコミ総合評価,2.96
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2017,クチコミ総合評価,2.97
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2018,クチコミ総合評価,2.98
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2019,クチコミ総合評価,3.01
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2020,クチコミ総合評価,3.1
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2021,クチコミ総合評価,3.14
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2022,クチコミ総合評価,3.2
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2023,クチコミ総合評価,3.12
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2024,クチコミ総合評価,3.07
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2025,クチコミ総合評価,3.45
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2016,待遇面の満足度,3.43
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2017,待遇面の満足度,3.39
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2018,待遇面の満足度,3.42
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2019,待遇面の満足度,3.46
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2020,待遇面の満足度,3.61
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2021,待遇面の満足度,3.54
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2022,待遇面の満足度,3.63
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2023,待遇面の満足度,3.54
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2024,待遇面の満足度,3.42
2025/6/30,ソシオネクスト,6526,TOPIX Mid400,a0C1000000xAnXr,2025,待遇面の満足度,4.5
