date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2016,クチコミ総合評価,2.87
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2017,クチコミ総合評価,2.93
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2018,クチコミ総合評価,2.95
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2019,クチコミ総合評価,2.99
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2020,クチコミ総合評価,3
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2021,クチコミ総合評価,3
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2022,クチコミ総合評価,2.98
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2023,クチコミ総合評価,2.89
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2024,クチコミ総合評価,2.94
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2025,クチコミ総合評価,2.93
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2016,待遇面の満足度,2.88
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2017,待遇面の満足度,2.97
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2018,待遇面の満足度,3.1
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2019,待遇面の満足度,3.3
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2020,待遇面の満足度,3.31
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2021,待遇面の満足度,3.24
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2022,待遇面の満足度,3.22
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2023,待遇面の満足度,3.13
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2024,待遇面の満足度,3.27
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2025,待遇面の満足度,3.09
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2016,社員の士気,2.59
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2017,社員の士気,2.68
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2018,社員の士気,2.72
2025/6/30,マキタ,6586,TOPIX Mid400,a0910000000FrNG,2019,社員の士気,2.8
