date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2016,クチコミ総合評価,3.18
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2017,クチコミ総合評価,3.14
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2018,クチコミ総合評価,3.1
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2019,クチコミ総合評価,3.07
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2020,クチコミ総合評価,3.18
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2021,クチコミ総合評価,3.19
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2022,クチコミ総合評価,3.27
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2023,クチコミ総合評価,3.53
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2024,クチコミ総合評価,3.8
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2025,クチコミ総合評価,3.88
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2016,待遇面の満足度,3.08
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2017,待遇面の満足度,3.05
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2018,待遇面の満足度,3.13
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2019,待遇面の満足度,3.07
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2020,待遇面の満足度,3.24
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2021,待遇面の満足度,3
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2022,待遇面の満足度,3.26
2025/6/30,マブチモーター,6592,TOPIX Mid400,a0910000000FrNK,2023,待遇面の満足度,3.35
