date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2016,クチコミ総合評価,3.17
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2017,クチコミ総合評価,3.14
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2018,クチコミ総合評価,3.1
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2019,クチコミ総合評価,3.09
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2020,クチコミ総合評価,3.1
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2021,クチコミ総合評価,3.12
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2022,クチコミ総合評価,3.06
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2023,クチコミ総合評価,3.19
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2024,クチコミ総合評価,3.1
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2025,クチコミ総合評価,2.96
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2016,待遇面の満足度,3.32
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2017,待遇面の満足度,3.36
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2018,待遇面の満足度,3.36
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2019,待遇面の満足度,3.41
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2020,待遇面の満足度,3.4
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2021,待遇面の満足度,3.4
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2022,待遇面の満足度,3.35
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2023,待遇面の満足度,3.6
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2024,待遇面の満足度,3.63
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2025,待遇面の満足度,3.61
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2016,社員の士気,2.6
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2017,社員の士気,2.58
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2018,社員の士気,2.49
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2019,社員の士気,2.47
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2020,社員の士気,2.45
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2021,社員の士気,2.48
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2022,社員の士気,2.48
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2023,社員の士気,2.61
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2024,社員の士気,2.6
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2025,社員の士気,2.33
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,TOPIX Mid400,a0C30000005Nhg1,2016,風通しの良さ,3.45
