date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2016,クチコミ総合評価,3.27
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2017,クチコミ総合評価,3.29
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2018,クチコミ総合評価,3.33
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2019,クチコミ総合評価,3.43
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2020,クチコミ総合評価,3.49
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2021,クチコミ総合評価,3.47
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2022,クチコミ総合評価,3.49
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2023,クチコミ総合評価,3.52
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2024,クチコミ総合評価,3.54
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2025,クチコミ総合評価,3.57
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2016,待遇面の満足度,3.08
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2017,待遇面の満足度,3.11
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2018,待遇面の満足度,3.15
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2019,待遇面の満足度,3.26
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2020,待遇面の満足度,3.23
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2021,待遇面の満足度,3.22
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2022,待遇面の満足度,3.25
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2023,待遇面の満足度,3.33
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2024,待遇面の満足度,3.33
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2025,待遇面の満足度,3.3
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2016,社員の士気,2.66
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2017,社員の士気,2.69
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2018,社員の士気,2.72
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2019,社員の士気,2.81
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2020,社員の士気,2.87
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2021,社員の士気,2.86
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2022,社員の士気,2.88
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2023,社員の士気,2.9
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2024,社員の士気,2.91
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2025,社員の士気,2.97
2025/6/30,日本電気,6701,TOPIX Large70,a0910000000FrPk,2016,風通しの良さ,3.29
