date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,クチコミ総合評価,3.21
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,クチコミ総合評価,3.25
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,クチコミ総合評価,3.32
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,クチコミ総合評価,3.38
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,クチコミ総合評価,3.54
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,クチコミ総合評価,3.67
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,クチコミ総合評価,3.8
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,クチコミ総合評価,3.88
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,クチコミ総合評価,3.88
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,クチコミ総合評価,3.76
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,待遇面の満足度,2.96
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,待遇面の満足度,3
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,待遇面の満足度,3.09
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,待遇面の満足度,3.22
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,待遇面の満足度,3.43
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,待遇面の満足度,3.61
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,待遇面の満足度,3.77
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,待遇面の満足度,3.89
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,待遇面の満足度,3.91
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,待遇面の満足度,3.81
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,社員の士気,2.77
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,社員の士気,2.78
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,社員の士気,2.81
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,社員の士気,2.83
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,社員の士気,2.89
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,社員の士気,2.93
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,社員の士気,2.99
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,社員の士気,3.08
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,社員の士気,3.07
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,社員の士気,3
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,風通しの良さ,3.13
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,風通しの良さ,3.18
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,風通しの良さ,3.24
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,風通しの良さ,3.29
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,風通しの良さ,3.41
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,風通しの良さ,3.5
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,風通しの良さ,3.59
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,風通しの良さ,3.65
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,風通しの良さ,3.66
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,風通しの良さ,3.56
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,社員の相互尊重,3.22
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,社員の相互尊重,3.26
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,社員の相互尊重,3.33
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,社員の相互尊重,3.36
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,社員の相互尊重,3.46
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,社員の相互尊重,3.48
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,社員の相互尊重,3.53
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,社員の相互尊重,3.56
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,社員の相互尊重,3.57
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,社員の相互尊重,3.52
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,20代成長環境,2.94
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,20代成長環境,2.94
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,20代成長環境,2.95
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,20代成長環境,2.97
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,20代成長環境,3.1
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,20代成長環境,3.23
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,20代成長環境,3.4
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,20代成長環境,3.51
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,20代成長環境,3.52
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,20代成長環境,3.35
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,人材の長期育成,2.96
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,人材の長期育成,2.99
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,人材の長期育成,3.06
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,人材の長期育成,3.14
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,人材の長期育成,3.28
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,人材の長期育成,3.39
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,人材の長期育成,3.48
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,人材の長期育成,3.49
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,人材の長期育成,3.41
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,人材の長期育成,3.18
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,法令順守意識,4.48
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,法令順守意識,4.53
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,法令順守意識,4.58
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,法令順守意識,4.62
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,法令順守意識,4.66
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,法令順守意識,4.68
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,法令順守意識,4.7
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,法令順守意識,4.71
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,法令順守意識,4.69
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,法令順守意識,4.7
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,人事評価の適正感,2.83
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,人事評価の適正感,2.85
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,人事評価の適正感,2.91
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,人事評価の適正感,2.97
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,人事評価の適正感,3.14
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,人事評価の適正感,3.32
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,人事評価の適正感,3.47
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2023,人事評価の適正感,3.57
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2024,人事評価の適正感,3.63
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2025,人事評価の適正感,3.62
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2016,有給休暇消化率,56.49
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2017,有給休暇消化率,57.55
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2018,有給休暇消化率,58.56
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2019,有給休暇消化率,59.44
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2020,有給休暇消化率,60.23
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2021,有給休暇消化率,61.09
2025/6/30,富士通,6702,TOPIX Large70,a0910000000FrPl,2022,有給休暇消化率,62.72
