date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2016,クチコミ総合評価,3.13
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2017,クチコミ総合評価,3.14
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2018,クチコミ総合評価,3.2
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2019,クチコミ総合評価,3.22
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2020,クチコミ総合評価,3.45
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2021,クチコミ総合評価,3.44
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2022,クチコミ総合評価,3.41
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2023,クチコミ総合評価,3.41
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2024,クチコミ総合評価,3.33
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2025,クチコミ総合評価,3.42
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2016,待遇面の満足度,3.12
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2017,待遇面の満足度,3.09
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2018,待遇面の満足度,3.2
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2019,待遇面の満足度,3.22
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2020,待遇面の満足度,3.28
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2021,待遇面の満足度,3.25
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2022,待遇面の満足度,3.18
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2023,待遇面の満足度,3.14
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2024,待遇面の満足度,2.84
2025/6/30,ルネサスエレクトロニクス,6723,TOPIX Large70,a0910000000FrQ0,2025,待遇面の満足度,2.88
