date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2016,クチコミ総合評価,3.37
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2017,クチコミ総合評価,3.32
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2018,クチコミ総合評価,3.44
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2019,クチコミ総合評価,3.3
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2020,クチコミ総合評価,3.31
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2021,クチコミ総合評価,3.29
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2022,クチコミ総合評価,3.38
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2023,クチコミ総合評価,3.27
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2024,クチコミ総合評価,2.96
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2025,クチコミ総合評価,2.68
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2016,待遇面の満足度,3.44
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2017,待遇面の満足度,3.61
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2018,待遇面の満足度,3.7
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2019,待遇面の満足度,3.46
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2020,待遇面の満足度,3.43
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2021,待遇面の満足度,3.7
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2022,待遇面の満足度,3.81
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2023,待遇面の満足度,3.61
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2024,待遇面の満足度,3.24
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2025,待遇面の満足度,2.67
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2016,社員の士気,2.84
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2017,社員の士気,2.86
2025/6/30,アルバック,6728,TOPIX Mid400,a0910000000FrQ4,2018,社員の士気,2.92
