date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2016,クチコミ総合評価,3.08
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2017,クチコミ総合評価,3.14
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2018,クチコミ総合評価,3.14
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2019,クチコミ総合評価,3.11
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2020,クチコミ総合評価,3.07
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2021,クチコミ総合評価,3.06
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2022,クチコミ総合評価,3.07
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2023,クチコミ総合評価,3.09
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2024,クチコミ総合評価,3.17
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2025,クチコミ総合評価,3.33
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2016,待遇面の満足度,2.61
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2017,待遇面の満足度,2.71
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2018,待遇面の満足度,2.72
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2019,待遇面の満足度,2.67
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2020,待遇面の満足度,2.66
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2021,待遇面の満足度,2.61
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2022,待遇面の満足度,2.57
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2023,待遇面の満足度,2.55
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2024,待遇面の満足度,2.59
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2025,待遇面の満足度,2.69
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2016,社員の士気,2.59
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2017,社員の士気,2.71
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2018,社員の士気,2.71
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2019,社員の士気,2.67
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2020,社員の士気,2.63
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2021,社員の士気,2.61
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2022,社員の士気,2.6
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2023,社員の士気,2.56
2025/6/30,シャープ,6753,TOPIX Mid400,a0910000000FrQO,2024,社員の士気,2.65
