date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,クチコミ総合評価,3.44
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,クチコミ総合評価,3.4
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,クチコミ総合評価,3.52
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,クチコミ総合評価,3.56
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,クチコミ総合評価,3.6
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,クチコミ総合評価,3.61
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,クチコミ総合評価,3.46
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,クチコミ総合評価,3.45
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,クチコミ総合評価,3.47
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,クチコミ総合評価,3.26
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,待遇面の満足度,3.16
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,待遇面の満足度,3.1
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,待遇面の満足度,3.32
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,待遇面の満足度,3.51
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,待遇面の満足度,3.53
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,待遇面の満足度,3.56
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,待遇面の満足度,3.47
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,待遇面の満足度,3.64
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,待遇面の満足度,3.72
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,待遇面の満足度,3.79
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,社員の士気,2.84
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,社員の士気,2.74
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,社員の士気,2.81
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,社員の士気,2.83
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,社員の士気,2.86
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,社員の士気,2.74
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,社員の士気,2.67
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,社員の士気,2.65
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,社員の士気,2.55
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,社員の士気,2.33
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,風通しの良さ,3.93
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,風通しの良さ,3.97
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,風通しの良さ,4.04
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,風通しの良さ,4
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,風通しの良さ,4.08
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,風通しの良さ,4.03
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,風通しの良さ,4
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,風通しの良さ,4.03
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,風通しの良さ,4.09
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,風通しの良さ,3.96
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,社員の相互尊重,3.6
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,社員の相互尊重,3.7
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,社員の相互尊重,3.83
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,社員の相互尊重,3.9
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,社員の相互尊重,3.88
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,社員の相互尊重,3.84
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,社員の相互尊重,3.54
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,社員の相互尊重,3.41
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,社員の相互尊重,3.47
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,社員の相互尊重,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,20代成長環境,3.16
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,20代成長環境,2.97
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,20代成長環境,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,20代成長環境,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,20代成長環境,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,20代成長環境,3.25
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,20代成長環境,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,20代成長環境,2.91
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,20代成長環境,2.95
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,20代成長環境,2.78
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,人材の長期育成,2.73
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,人材の長期育成,2.62
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,人材の長期育成,2.75
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,人材の長期育成,2.69
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,人材の長期育成,2.68
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,人材の長期育成,2.65
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,人材の長期育成,2.54
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,人材の長期育成,2.48
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,人材の長期育成,2.45
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,人材の長期育成,2.11
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,法令順守意識,4.58
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,法令順守意識,4.66
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,法令順守意識,4.81
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,法令順守意識,4.79
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,法令順守意識,4.88
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,法令順守意識,4.81
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,法令順守意識,4.85
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,法令順守意識,4.89
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,法令順守意識,4.9
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,法令順守意識,4.99
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,人事評価の適正感,2.65
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,人事評価の適正感,2.64
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,人事評価の適正感,2.75
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,人事評価の適正感,2.86
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,人事評価の適正感,3
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,人事評価の適正感,2.96
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,人事評価の適正感,2.79
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,人事評価の適正感,2.83
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,人事評価の適正感,2.85
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,人事評価の適正感,2.56
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,有給休暇消化率,61.62
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,有給休暇消化率,63.59
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,有給休暇消化率,68.06
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,有給休暇消化率,69.14
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,有給休暇消化率,69.46
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,有給休暇消化率,68.7
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,有給休暇消化率,64.17
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,有給休暇消化率,66.52
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,有給休暇消化率,66.75
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,有給休暇消化率,67.22
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2015,残業時間(月間),16.19
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2016,残業時間(月間),15.23
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2017,残業時間(月間),14.69
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2018,残業時間(月間),14.21
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2019,残業時間(月間),14.29
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2020,残業時間(月間),14.35
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2021,残業時間(月間),13.13
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2022,残業時間(月間),12.83
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2023,残業時間(月間),14.35
2025/6/30,アンリツ,6754,TOPIX Mid400,a0910000000FrQP,2024,残業時間(月間),13.89
