date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,クチコミ総合評価,4.09
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,クチコミ総合評価,4.16
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,クチコミ総合評価,4.26
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,クチコミ総合評価,4.36
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,クチコミ総合評価,4.42
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,クチコミ総合評価,4.4
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,クチコミ総合評価,4.47
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,クチコミ総合評価,4.5
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,クチコミ総合評価,4.38
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,クチコミ総合評価,4.35
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,待遇面の満足度,4.01
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,待遇面の満足度,4.12
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,待遇面の満足度,4.21
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,待遇面の満足度,4.27
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,待遇面の満足度,4.32
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,待遇面の満足度,4.36
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,待遇面の満足度,4.41
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,待遇面の満足度,4.4
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,待遇面の満足度,4.34
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,待遇面の満足度,4.45
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,社員の士気,3.65
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,社員の士気,3.74
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,社員の士気,3.83
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,社員の士気,3.96
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,社員の士気,4.07
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,社員の士気,4.05
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,社員の士気,4.15
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,社員の士気,4.24
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,社員の士気,4.15
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,社員の士気,4.13
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,風通しの良さ,4.16
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,風通しの良さ,4.21
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,風通しの良さ,4.27
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,風通しの良さ,4.31
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,風通しの良さ,4.41
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,風通しの良さ,4.43
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,風通しの良さ,4.63
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,風通しの良さ,4.63
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,風通しの良さ,4.5
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,風通しの良さ,4.35
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,社員の相互尊重,3.7
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,社員の相互尊重,3.73
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,社員の相互尊重,3.81
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,社員の相互尊重,3.82
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,社員の相互尊重,3.88
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,社員の相互尊重,3.72
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,社員の相互尊重,3.81
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,社員の相互尊重,3.95
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,社員の相互尊重,3.84
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,社員の相互尊重,3.73
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,20代成長環境,4.06
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,20代成長環境,4.11
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,20代成長環境,4.12
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,20代成長環境,4.23
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,20代成長環境,4.24
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,20代成長環境,4.22
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,20代成長環境,4.32
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,20代成長環境,4.39
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,20代成長環境,4.26
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,20代成長環境,4.13
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,人材の長期育成,2.9
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,人材の長期育成,2.99
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,人材の長期育成,3.19
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,人材の長期育成,3.36
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,人材の長期育成,3.45
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,人材の長期育成,3.43
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,人材の長期育成,3.36
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,人材の長期育成,3.36
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,人材の長期育成,3.04
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,人材の長期育成,3.09
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,法令順守意識,4.56
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,法令順守意識,4.62
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,法令順守意識,4.72
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,法令順守意識,4.74
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,法令順守意識,4.75
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,法令順守意識,4.72
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,法令順守意識,4.78
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,法令順守意識,4.74
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,法令順守意識,4.76
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,法令順守意識,4.74
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,人事評価の適正感,3.77
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,人事評価の適正感,3.86
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,人事評価の適正感,3.98
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,人事評価の適正感,4.12
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,人事評価の適正感,4.21
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,人事評価の適正感,4.24
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2022,人事評価の適正感,4.35
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2023,人事評価の適正感,4.34
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2024,人事評価の適正感,4.26
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2025,人事評価の適正感,4.25
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2016,有給休暇消化率,59.02
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2017,有給休暇消化率,61.03
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2018,有給休暇消化率,62.51
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2019,有給休暇消化率,62.89
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2020,有給休暇消化率,63.3
2025/6/30,ソニーグループ,6758,TOPIX Core30,a0910000000FrQT,2021,有給休暇消化率,64.97
