date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2016,クチコミ総合評価,3.14
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2017,クチコミ総合評価,3.2
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2018,クチコミ総合評価,3.24
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2019,クチコミ総合評価,3.28
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2020,クチコミ総合評価,3.29
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2021,クチコミ総合評価,3.26
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2022,クチコミ総合評価,3.24
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2023,クチコミ総合評価,3.22
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2024,クチコミ総合評価,3.26
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2025,クチコミ総合評価,3.3
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2016,待遇面の満足度,3.36
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2017,待遇面の満足度,3.37
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2018,待遇面の満足度,3.45
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2019,待遇面の満足度,3.48
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2020,待遇面の満足度,3.44
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2021,待遇面の満足度,3.51
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2022,待遇面の満足度,3.57
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2023,待遇面の満足度,3.61
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2024,待遇面の満足度,3.8
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2025,待遇面の満足度,4.32
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2016,社員の士気,2.63
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2017,社員の士気,2.68
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2018,社員の士気,2.73
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2019,社員の士気,2.76
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2020,社員の士気,2.85
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2021,社員の士気,2.83
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2022,社員の士気,2.8
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2023,社員の士気,2.78
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2024,社員の士気,2.76
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2025,社員の士気,2.56
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2016,風通しの良さ,3.55
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2017,風通しの良さ,3.64
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2018,風通しの良さ,3.66
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2019,風通しの良さ,3.71
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2020,風通しの良さ,3.61
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2021,風通しの良さ,3.46
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2022,風通しの良さ,3.38
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2023,風通しの良さ,3.29
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2024,風通しの良さ,3.24
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2025,風通しの良さ,3.11
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2016,社員の相互尊重,2.87
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2017,社員の相互尊重,2.95
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2018,社員の相互尊重,2.96
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2019,社員の相互尊重,2.94
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2020,社員の相互尊重,2.92
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2021,社員の相互尊重,2.82
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2022,社員の相互尊重,2.79
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2023,社員の相互尊重,2.69
2025/6/30,ＴＤＫ,6762,TOPIX Large70,a0910000000FrQW,2024,社員の相互尊重,2.67
