date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,クチコミ総合評価,2.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,クチコミ総合評価,2.84
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,クチコミ総合評価,2.85
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,クチコミ総合評価,2.9
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,クチコミ総合評価,2.92
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,クチコミ総合評価,2.94
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,クチコミ総合評価,3.09
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,クチコミ総合評価,2.86
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,クチコミ総合評価,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,クチコミ総合評価,3.71
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,待遇面の満足度,2.75
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,待遇面の満足度,2.71
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,待遇面の満足度,2.75
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,待遇面の満足度,2.85
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,待遇面の満足度,2.92
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,待遇面の満足度,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,待遇面の満足度,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,待遇面の満足度,2.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,待遇面の満足度,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,待遇面の満足度,3.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,社員の士気,2.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,社員の士気,2.78
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,社員の士気,2.75
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,社員の士気,2.73
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,社員の士気,2.68
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,社員の士気,2.75
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,社員の士気,2.92
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,社員の士気,2.63
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,社員の士気,2.6
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,社員の士気,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,風通しの良さ,3.03
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,風通しの良さ,2.99
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,風通しの良さ,3
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,風通しの良さ,3.1
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,風通しの良さ,3.12
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,風通しの良さ,3.05
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,風通しの良さ,2.96
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,風通しの良さ,2.81
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,風通しの良さ,2.9
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,風通しの良さ,3.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,社員の相互尊重,2.85
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,社員の相互尊重,2.82
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,社員の相互尊重,2.83
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,社員の相互尊重,2.83
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,社員の相互尊重,2.82
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,社員の相互尊重,2.83
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,社員の相互尊重,3.08
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,社員の相互尊重,2.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,社員の相互尊重,2.9
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,社員の相互尊重,3.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,20代成長環境,3.23
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,20代成長環境,3.14
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,20代成長環境,2.97
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,20代成長環境,2.92
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,20代成長環境,2.8
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,20代成長環境,2.95
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,20代成長環境,3.24
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,20代成長環境,2.81
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,20代成長環境,3.38
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,20代成長環境,4.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,人材の長期育成,2.48
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,人材の長期育成,2.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,人材の長期育成,2.49
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,人材の長期育成,2.52
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,人材の長期育成,2.52
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,人材の長期育成,2.55
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,人材の長期育成,2.54
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,人材の長期育成,2.25
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,人材の長期育成,2.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,人材の長期育成,2.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,法令順守意識,3.06
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,法令順守意識,3.11
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,法令順守意識,3.34
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,法令順守意識,3.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,法令順守意識,3.66
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,法令順守意識,3.64
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,法令順守意識,4.05
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,法令順守意識,4.05
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,法令順守意識,3.88
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,法令順守意識,5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,人事評価の適正感,2.6
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,人事評価の適正感,2.54
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,人事評価の適正感,2.51
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,人事評価の適正感,2.52
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,人事評価の適正感,2.52
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,人事評価の適正感,2.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,人事評価の適正感,2.5
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,人事評価の適正感,2.31
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2024,人事評価の適正感,2.4
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2025,人事評価の適正感,2
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2016,有給休暇消化率,29.63
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2017,有給休暇消化率,42.29
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2018,有給休暇消化率,49.44
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2019,有給休暇消化率,57.83
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2020,有給休暇消化率,62.7
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2021,有給休暇消化率,59.63
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2022,有給休暇消化率,72.08
2025/6/30,ヒロセ電機,6806,TOPIX Mid400,a0910000000FrR5,2023,有給休暇消化率,72.5
