date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2016,クチコミ総合評価,3.36
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2017,クチコミ総合評価,3.44
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2018,クチコミ総合評価,3.45
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2019,クチコミ総合評価,3.52
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2020,クチコミ総合評価,3.46
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2021,クチコミ総合評価,3.44
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2022,クチコミ総合評価,3.31
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2023,クチコミ総合評価,3.22
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2024,クチコミ総合評価,3.13
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2025,クチコミ総合評価,3.43
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2016,待遇面の満足度,3.16
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2017,待遇面の満足度,3.31
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2018,待遇面の満足度,3.33
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2019,待遇面の満足度,3.49
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2020,待遇面の満足度,3.46
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2021,待遇面の満足度,3.41
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2022,待遇面の満足度,3.3
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2023,待遇面の満足度,3.23
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2024,待遇面の満足度,3.16
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2025,待遇面の満足度,2.67
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2016,社員の士気,2.94
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2017,社員の士気,2.96
2025/6/30,横河電機,6841,TOPIX Mid400,a0910000000FrRa,2018,社員の士気,2.95
