date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2016,クチコミ総合評価,3.11
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2017,クチコミ総合評価,3.08
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2018,クチコミ総合評価,3.08
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2019,クチコミ総合評価,3.09
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2020,クチコミ総合評価,3.12
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2021,クチコミ総合評価,3.15
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2022,クチコミ総合評価,3.17
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2023,クチコミ総合評価,3.2
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2024,クチコミ総合評価,3.19
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2025,クチコミ総合評価,3.14
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2016,待遇面の満足度,4.19
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2017,待遇面の満足度,4.16
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2018,待遇面の満足度,4.04
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2019,待遇面の満足度,4.02
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2020,待遇面の満足度,4.02
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2021,待遇面の満足度,4.02
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2022,待遇面の満足度,4.03
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2023,待遇面の満足度,3.96
2025/6/30,日本光電工業,6849,TOPIX Mid400,a0910000006Kwqi,2024,待遇面の満足度,3.95
