date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2016,クチコミ総合評価,3.09
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2017,クチコミ総合評価,3.07
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2018,クチコミ総合評価,3.07
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2019,クチコミ総合評価,3.05
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2020,クチコミ総合評価,3.08
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2021,クチコミ総合評価,3.1
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2022,クチコミ総合評価,3.06
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2023,クチコミ総合評価,3.02
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2024,クチコミ総合評価,3.09
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2025,クチコミ総合評価,3.16
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2016,待遇面の満足度,2.15
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2017,待遇面の満足度,2.16
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2018,待遇面の満足度,2.13
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2019,待遇面の満足度,2.07
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2020,待遇面の満足度,2.02
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2021,待遇面の満足度,1.95
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2022,待遇面の満足度,1.89
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2023,待遇面の満足度,1.84
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2024,待遇面の満足度,1.97
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2025,待遇面の満足度,2.25
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2016,社員の士気,2.63
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2017,社員の士気,2.59
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2018,社員の士気,2.62
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2019,社員の士気,2.6
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2020,社員の士気,2.57
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2021,社員の士気,2.59
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2022,社員の士気,2.53
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2023,社員の士気,2.52
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2024,社員の士気,2.52
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2025,社員の士気,2.67
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2016,風通しの良さ,3.58
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2017,風通しの良さ,3.55
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2018,風通しの良さ,3.58
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2019,風通しの良さ,3.56
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2020,風通しの良さ,3.64
2025/6/30,堀場製作所,6856,TOPIX Mid400,a0910000000FrRl,2021,風通しの良さ,3.68
