date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2016,クチコミ総合評価,3.47
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2017,クチコミ総合評価,3.58
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2018,クチコミ総合評価,3.74
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2019,クチコミ総合評価,3.95
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2020,クチコミ総合評価,4.09
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2021,クチコミ総合評価,4.1
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2022,クチコミ総合評価,4
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2023,クチコミ総合評価,3.81
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2024,クチコミ総合評価,3.95
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2025,クチコミ総合評価,3.95
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2016,待遇面の満足度,3.68
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2017,待遇面の満足度,3.77
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2018,待遇面の満足度,3.88
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2019,待遇面の満足度,4.01
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2020,待遇面の満足度,4.11
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2021,待遇面の満足度,4.08
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2022,待遇面の満足度,4.08
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2023,待遇面の満足度,3.92
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2024,待遇面の満足度,4.03
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2025,待遇面の満足度,3
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2016,社員の士気,2.69
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2017,社員の士気,2.84
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2018,社員の士気,2.97
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2019,社員の士気,3.22
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2020,社員の士気,3.4
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2021,社員の士気,3.42
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2022,社員の士気,3.38
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2023,社員の士気,3.35
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2024,社員の士気,3.47
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2025,社員の士気,3.88
2025/6/30,アドバンテスト,6857,TOPIX Large70,a0910000000FrRm,2016,風通しの良さ,3.64
