date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2016,クチコミ総合評価,4.24
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2017,クチコミ総合評価,4.25
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2018,クチコミ総合評価,4.27
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2019,クチコミ総合評価,4.25
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2020,クチコミ総合評価,4.28
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2021,クチコミ総合評価,4.29
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2022,クチコミ総合評価,4.37
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2023,クチコミ総合評価,4.41
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2024,クチコミ総合評価,4.43
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2025,クチコミ総合評価,4.44
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2016,待遇面の満足度,4.8
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2017,待遇面の満足度,4.78
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2018,待遇面の満足度,4.79
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2019,待遇面の満足度,4.79
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2020,待遇面の満足度,4.78
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2021,待遇面の満足度,4.73
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2022,待遇面の満足度,4.74
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2023,待遇面の満足度,4.63
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2024,待遇面の満足度,4.66
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2025,待遇面の満足度,4.7
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2016,社員の士気,4.41
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2017,社員の士気,4.44
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2018,社員の士気,4.42
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2019,社員の士気,4.33
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2020,社員の士気,4.44
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2021,社員の士気,4.44
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2022,社員の士気,4.46
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2023,社員の士気,4.45
2025/6/30,キーエンス,6861,TOPIX Core30,a0910000000FrRq,2024,社員の士気,4.48
