date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2016,クチコミ総合評価,3.63
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2017,クチコミ総合評価,3.64
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2018,クチコミ総合評価,3.65
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2019,クチコミ総合評価,3.69
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2020,クチコミ総合評価,3.68
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2021,クチコミ総合評価,3.7
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2022,クチコミ総合評価,3.73
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2023,クチコミ総合評価,3.77
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2024,クチコミ総合評価,3.77
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2025,クチコミ総合評価,3.95
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2016,待遇面の満足度,4.25
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2017,待遇面の満足度,4.25
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2018,待遇面の満足度,4.26
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2019,待遇面の満足度,4.23
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2020,待遇面の満足度,4.16
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2021,待遇面の満足度,4.17
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2022,待遇面の満足度,4.18
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2023,待遇面の満足度,4.17
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2024,待遇面の満足度,4.13
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2025,待遇面の満足度,4.2
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2016,社員の士気,2.98
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2017,社員の士気,2.99
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2018,社員の士気,3.01
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2019,社員の士気,3.07
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2020,社員の士気,3.09
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2021,社員の士気,3.1
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2022,社員の士気,3.12
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2023,社員の士気,3.22
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2024,社員の士気,3.17
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2025,社員の士気,3.32
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2016,風通しの良さ,3.24
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2017,風通しの良さ,3.28
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2018,風通しの良さ,3.3
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2019,風通しの良さ,3.33
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2020,風通しの良さ,3.31
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2021,風通しの良さ,3.32
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2022,風通しの良さ,3.32
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2023,風通しの良さ,3.31
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2024,風通しの良さ,3.29
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2025,風通しの良さ,3.5
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2016,社員の相互尊重,3.44
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2017,社員の相互尊重,3.45
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2018,社員の相互尊重,3.49
2025/6/30,デンソー,6902,TOPIX Large70,a0910000000FrSO,2019,社員の相互尊重,3.55
