date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2016,クチコミ総合評価,4.03
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2017,クチコミ総合評価,3.82
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2018,クチコミ総合評価,3.46
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2019,クチコミ総合評価,3.46
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2020,クチコミ総合評価,3.28
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2021,クチコミ総合評価,3.22
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2022,クチコミ総合評価,3.24
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2023,クチコミ総合評価,3.34
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2024,クチコミ総合評価,3.39
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2025,クチコミ総合評価,3.34
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2016,待遇面の満足度,4.7
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2017,待遇面の満足度,4.7
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2018,待遇面の満足度,4.64
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2019,待遇面の満足度,4.64
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2020,待遇面の満足度,4.34
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2021,待遇面の満足度,4.35
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2022,待遇面の満足度,4.36
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2023,待遇面の満足度,4.35
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2024,待遇面の満足度,4.43
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2025,待遇面の満足度,4.26
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2016,社員の士気,4.26
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2017,社員の士気,4.06
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2018,社員の士気,3.65
2025/6/30,レーザーテック,6920,TOPIX Large70,a0910000000FrSc,2019,社員の士気,3.65
