date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,クチコミ総合評価,3.36
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,クチコミ総合評価,3.43
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,クチコミ総合評価,3.52
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,クチコミ総合評価,3.46
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,クチコミ総合評価,3.39
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,クチコミ総合評価,3.38
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,クチコミ総合評価,3.39
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,クチコミ総合評価,3.45
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,クチコミ総合評価,3.4
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,クチコミ総合評価,3.43
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,待遇面の満足度,3.79
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,待遇面の満足度,3.82
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,待遇面の満足度,3.79
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,待遇面の満足度,3.65
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,待遇面の満足度,3.5
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,待遇面の満足度,3.49
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,待遇面の満足度,3.56
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,待遇面の満足度,3.77
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,待遇面の満足度,3.82
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,待遇面の満足度,3.68
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,社員の士気,2.73
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,社員の士気,2.81
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,社員の士気,2.83
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,社員の士気,2.79
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,社員の士気,2.73
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,社員の士気,2.78
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,社員の士気,2.91
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,社員の士気,2.81
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,社員の士気,2.73
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,社員の士気,2.88
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,風通しの良さ,3.56
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,風通しの良さ,3.58
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,風通しの良さ,3.75
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,風通しの良さ,3.77
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,風通しの良さ,3.76
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,風通しの良さ,3.71
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,風通しの良さ,3.71
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,風通しの良さ,3.77
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,風通しの良さ,3.82
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,風通しの良さ,3.68
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,社員の相互尊重,3.07
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,社員の相互尊重,3.15
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,社員の相互尊重,3.32
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,社員の相互尊重,3.21
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,社員の相互尊重,3.22
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,社員の相互尊重,3.25
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,社員の相互尊重,3.33
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,社員の相互尊重,3.53
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,社員の相互尊重,3.38
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,社員の相互尊重,3.68
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,20代成長環境,2.96
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,20代成長環境,3.07
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,20代成長環境,3
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,20代成長環境,2.93
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,20代成長環境,2.92
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,20代成長環境,2.91
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,20代成長環境,2.96
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,20代成長環境,2.86
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,20代成長環境,2.73
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2025,20代成長環境,2.88
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2016,人材の長期育成,2.68
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2017,人材の長期育成,2.78
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2018,人材の長期育成,2.81
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2019,人材の長期育成,2.93
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2020,人材の長期育成,2.81
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2021,人材の長期育成,2.78
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2022,人材の長期育成,2.57
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2023,人材の長期育成,2.57
2025/6/30,ウシオ電機,6925,TOPIX Mid400,a0910000000FrSh,2024,人材の長期育成,2.47
