date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2016,クチコミ総合評価,3.09
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2017,クチコミ総合評価,3.08
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2018,クチコミ総合評価,3.05
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2019,クチコミ総合評価,3.02
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2020,クチコミ総合評価,3.02
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2021,クチコミ総合評価,3.05
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2022,クチコミ総合評価,3.08
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2023,クチコミ総合評価,3.09
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2024,クチコミ総合評価,3.21
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2025,クチコミ総合評価,3.09
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2016,待遇面の満足度,3.39
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2017,待遇面の満足度,3.37
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2018,待遇面の満足度,3.31
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2019,待遇面の満足度,3.26
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2020,待遇面の満足度,3.28
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2021,待遇面の満足度,3.31
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2022,待遇面の満足度,3.39
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2023,待遇面の満足度,3.46
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2024,待遇面の満足度,3.61
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2025,待遇面の満足度,3.36
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2016,社員の士気,2.58
2025/6/30,カシオ計算機,6952,TOPIX Mid400,a0910000000FrT3,2017,社員の士気,2.57
