date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,クチコミ総合評価,3.1
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,クチコミ総合評価,3.17
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,クチコミ総合評価,3.16
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,クチコミ総合評価,3.19
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,クチコミ総合評価,3.14
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,クチコミ総合評価,3.1
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,クチコミ総合評価,3.09
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,クチコミ総合評価,3.11
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,クチコミ総合評価,3.1
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,クチコミ総合評価,3.01
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,待遇面の満足度,3.36
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,待遇面の満足度,3.36
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,待遇面の満足度,3.36
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,待遇面の満足度,3.41
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,待遇面の満足度,3.34
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,待遇面の満足度,3.21
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,待遇面の満足度,3.15
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,待遇面の満足度,3.07
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,待遇面の満足度,3.02
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,待遇面の満足度,2.92
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,社員の士気,2.72
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,社員の士気,2.76
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,社員の士気,2.73
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,社員の士気,2.72
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,社員の士気,2.68
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,社員の士気,2.67
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,社員の士気,2.69
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,社員の士気,2.74
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,社員の士気,2.68
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,社員の士気,2.63
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,風通しの良さ,2.71
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,風通しの良さ,2.79
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,風通しの良さ,2.78
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,風通しの良さ,2.84
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,風通しの良さ,2.9
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,風通しの良さ,2.88
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,風通しの良さ,2.85
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,風通しの良さ,2.88
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,風通しの良さ,2.87
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,風通しの良さ,2.81
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,社員の相互尊重,2.7
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,社員の相互尊重,2.76
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,社員の相互尊重,2.74
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,社員の相互尊重,2.82
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,社員の相互尊重,2.86
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,社員の相互尊重,2.83
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,社員の相互尊重,2.8
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,社員の相互尊重,2.8
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,社員の相互尊重,2.8
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,社員の相互尊重,2.85
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,20代成長環境,3.62
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,20代成長環境,3.68
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,20代成長環境,3.61
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,20代成長環境,3.49
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,20代成長環境,3.36
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,20代成長環境,3.28
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,20代成長環境,3.37
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,20代成長環境,3.48
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,20代成長環境,3.61
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,20代成長環境,3.47
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,人材の長期育成,2.37
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,人材の長期育成,2.46
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,人材の長期育成,2.48
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,人材の長期育成,2.51
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,人材の長期育成,2.44
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,人材の長期育成,2.44
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,人材の長期育成,2.36
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,人材の長期育成,2.34
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,人材の長期育成,2.27
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,人材の長期育成,2.06
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,法令順守意識,3.89
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,法令順守意識,4.04
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,法令順守意識,4.14
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,法令順守意識,4.19
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,法令順守意識,4.16
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,法令順守意識,4.21
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,法令順守意識,4.16
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,法令順守意識,4.2
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,法令順守意識,4.13
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,法令順守意識,3.98
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,人事評価の適正感,2.78
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,人事評価の適正感,2.8
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,人事評価の適正感,2.81
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,人事評価の適正感,2.88
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,人事評価の適正感,2.83
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,人事評価の適正感,2.77
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,人事評価の適正感,2.82
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,人事評価の適正感,2.89
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,人事評価の適正感,2.88
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,人事評価の適正感,2.92
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,有給休暇消化率,55.93
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,有給休暇消化率,58.18
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,有給休暇消化率,61.39
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,有給休暇消化率,64.02
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,有給休暇消化率,65.94
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,有給休暇消化率,67.38
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,有給休暇消化率,70.08
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,有給休暇消化率,71.27
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,有給休暇消化率,70.12
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,有給休暇消化率,68.85
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2016,残業時間(月間),28.7
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2017,残業時間(月間),27.03
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2018,残業時間(月間),26.87
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2019,残業時間(月間),25.22
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2020,残業時間(月間),23.76
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2021,残業時間(月間),23.15
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2022,残業時間(月間),22.97
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2023,残業時間(月間),23.32
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2024,残業時間(月間),23.93
2025/6/30,ローム,6963,TOPIX Mid400,a0910000000FrTB,2025,残業時間(月間),25.44
