date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,クチコミ総合評価,3.24
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,クチコミ総合評価,3.29
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,クチコミ総合評価,3.23
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,クチコミ総合評価,3.22
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,クチコミ総合評価,3.17
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,クチコミ総合評価,3.09
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,クチコミ総合評価,3.11
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,クチコミ総合評価,3.11
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,クチコミ総合評価,3.03
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,クチコミ総合評価,3.05
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,待遇面の満足度,3.47
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,待遇面の満足度,3.54
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,待遇面の満足度,3.4
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,待遇面の満足度,3.39
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,待遇面の満足度,3.39
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,待遇面の満足度,3.29
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,待遇面の満足度,3.32
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,待遇面の満足度,3.39
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,待遇面の満足度,3.18
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,待遇面の満足度,3
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,社員の士気,3
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,社員の士気,3.09
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,社員の士気,2.97
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,社員の士気,2.91
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,社員の士気,2.85
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,社員の士気,2.82
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,社員の士気,2.76
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,社員の士気,2.75
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,社員の士気,2.65
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,社員の士気,2.45
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,風通しの良さ,3.36
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,風通しの良さ,3.42
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,風通しの良さ,3.4
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,風通しの良さ,3.46
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,風通しの良さ,3.43
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,風通しの良さ,3.43
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,風通しの良さ,3.54
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,風通しの良さ,3.58
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,風通しの良さ,3.54
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,風通しの良さ,3.8
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,社員の相互尊重,2.92
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,社員の相互尊重,2.98
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,社員の相互尊重,3.08
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,社員の相互尊重,3.18
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,社員の相互尊重,3.11
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,社員の相互尊重,2.92
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,社員の相互尊重,2.95
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,社員の相互尊重,2.95
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,社員の相互尊重,2.96
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,社員の相互尊重,3.27
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,20代成長環境,2.89
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,20代成長環境,2.87
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,20代成長環境,2.77
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,20代成長環境,2.66
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,20代成長環境,2.65
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,20代成長環境,2.58
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,20代成長環境,2.59
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,20代成長環境,2.59
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,20代成長環境,2.49
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,20代成長環境,2.41
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,人材の長期育成,2.78
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,人材の長期育成,2.85
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,人材の長期育成,2.8
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,人材の長期育成,2.74
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,人材の長期育成,2.66
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,人材の長期育成,2.58
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,人材の長期育成,2.49
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,人材の長期育成,2.49
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,人材の長期育成,2.44
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,人材の長期育成,2.45
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,法令順守意識,4.53
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,法令順守意識,4.58
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,法令順守意識,4.64
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,法令順守意識,4.69
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,法令順守意識,4.71
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,法令順守意識,4.68
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,法令順守意識,4.75
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,法令順守意識,4.74
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,法令順守意識,4.74
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,法令順守意識,4.83
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,人事評価の適正感,2.35
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,人事評価の適正感,2.34
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,人事評価の適正感,2.21
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,人事評価の適正感,2.11
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,人事評価の適正感,1.99
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,人事評価の適正感,1.91
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,人事評価の適正感,1.92
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,人事評価の適正感,1.86
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,人事評価の適正感,1.75
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,人事評価の適正感,1.72
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,有給休暇消化率,71.96
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,有給休暇消化率,73.95
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,有給休暇消化率,73.84
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,有給休暇消化率,75.71
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,有給休暇消化率,78.33
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2021,有給休暇消化率,77.66
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2022,有給休暇消化率,79.53
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2023,有給休暇消化率,80.62
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2024,有給休暇消化率,81.09
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2025,有給休暇消化率,82.24
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2016,残業時間(月間),18.29
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2017,残業時間(月間),17.44
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2018,残業時間(月間),16.79
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2019,残業時間(月間),15.19
2025/6/30,浜松ホトニクス,6965,TOPIX Mid400,a0910000000FrTD,2020,残業時間(月間),14.32
