date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,クチコミ総合評価,3.13
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,クチコミ総合評価,3.15
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,クチコミ総合評価,3.21
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,クチコミ総合評価,3.24
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,クチコミ総合評価,3.23
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,クチコミ総合評価,3.26
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,クチコミ総合評価,3.32
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,クチコミ総合評価,3.39
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,クチコミ総合評価,3.41
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,クチコミ総合評価,3.35
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,待遇面の満足度,3.05
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,待遇面の満足度,3.15
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,待遇面の満足度,3.26
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,待遇面の満足度,3.35
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,待遇面の満足度,3.38
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,待遇面の満足度,3.41
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,待遇面の満足度,3.49
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,待遇面の満足度,3.52
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,待遇面の満足度,3.58
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,待遇面の満足度,3.71
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,社員の士気,2.78
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,社員の士気,2.8
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,社員の士気,2.83
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,社員の士気,2.78
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,社員の士気,2.78
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,社員の士気,2.8
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,社員の士気,2.79
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,社員の士気,2.79
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,社員の士気,2.76
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,社員の士気,2.73
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,風通しの良さ,2.91
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,風通しの良さ,2.93
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,風通しの良さ,2.96
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,風通しの良さ,3.06
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,風通しの良さ,3.05
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,風通しの良さ,3.13
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,風通しの良さ,3.25
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,風通しの良さ,3.42
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,風通しの良さ,3.51
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,風通しの良さ,3.35
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,社員の相互尊重,3.28
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,社員の相互尊重,3.26
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,社員の相互尊重,3.33
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,社員の相互尊重,3.36
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,社員の相互尊重,3.29
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,社員の相互尊重,3.29
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,社員の相互尊重,3.34
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,社員の相互尊重,3.51
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,社員の相互尊重,3.57
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,社員の相互尊重,3.44
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,20代成長環境,2.7
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,20代成長環境,2.67
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,20代成長環境,2.73
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,20代成長環境,2.77
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,20代成長環境,2.79
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,20代成長環境,2.81
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,20代成長環境,2.86
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,20代成長環境,2.89
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,20代成長環境,2.87
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,20代成長環境,2.81
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,人材の長期育成,2.59
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,人材の長期育成,2.58
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,人材の長期育成,2.63
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,人材の長期育成,2.65
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,人材の長期育成,2.63
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,人材の長期育成,2.65
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,人材の長期育成,2.69
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,人材の長期育成,2.7
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,人材の長期育成,2.66
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,人材の長期育成,2.57
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,法令順守意識,4.58
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,法令順守意識,4.61
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,法令順守意識,4.63
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,法令順守意識,4.64
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2020,法令順守意識,4.64
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2021,法令順守意識,4.59
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2022,法令順守意識,4.58
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2023,法令順守意識,4.6
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2024,法令順守意識,4.58
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2025,法令順守意識,4.59
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2016,人事評価の適正感,2.75
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2017,人事評価の適正感,2.74
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2018,人事評価の適正感,2.79
2025/6/30,京セラ,6971,TOPIX Large70,a0910000000FrTH,2019,人事評価の適正感,2.77
