date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,クチコミ総合評価,3.88
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,クチコミ総合評価,3.9
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,クチコミ総合評価,3.88
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,クチコミ総合評価,3.9
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,クチコミ総合評価,3.88
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,クチコミ総合評価,3.91
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,クチコミ総合評価,3.97
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,クチコミ総合評価,3.96
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,クチコミ総合評価,4.02
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,クチコミ総合評価,4
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,待遇面の満足度,3.69
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,待遇面の満足度,3.7
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,待遇面の満足度,3.69
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,待遇面の満足度,3.7
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,待遇面の満足度,3.67
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,待遇面の満足度,3.69
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,待遇面の満足度,3.73
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,待遇面の満足度,3.67
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,待遇面の満足度,3.65
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,待遇面の満足度,3.67
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,社員の士気,3.37
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,社員の士気,3.43
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,社員の士気,3.42
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,社員の士気,3.42
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,社員の士気,3.37
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,社員の士気,3.33
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,社員の士気,3.35
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,社員の士気,3.33
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,社員の士気,3.39
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,社員の士気,3.42
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,風通しの良さ,3.76
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,風通しの良さ,3.84
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,風通しの良さ,3.84
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,風通しの良さ,3.89
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,風通しの良さ,3.91
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,風通しの良さ,3.92
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,風通しの良さ,3.98
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,風通しの良さ,4.01
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,風通しの良さ,4.15
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,風通しの良さ,4.3
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,社員の相互尊重,3.79
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,社員の相互尊重,3.77
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,社員の相互尊重,3.7
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,社員の相互尊重,3.75
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,社員の相互尊重,3.76
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,社員の相互尊重,3.76
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,社員の相互尊重,3.8
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,社員の相互尊重,3.77
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,社員の相互尊重,3.96
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,社員の相互尊重,3.96
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,20代成長環境,3.6
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,20代成長環境,3.59
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,20代成長環境,3.56
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,20代成長環境,3.51
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,20代成長環境,3.48
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,20代成長環境,3.52
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,20代成長環境,3.6
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,20代成長環境,3.64
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,20代成長環境,3.76
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,20代成長環境,3.79
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,人材の長期育成,3.24
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,人材の長期育成,3.28
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,人材の長期育成,3.26
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,人材の長期育成,3.3
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,人材の長期育成,3.29
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,人材の長期育成,3.33
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,人材の長期育成,3.44
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,人材の長期育成,3.46
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,人材の長期育成,3.5
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,人材の長期育成,3.25
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,法令順守意識,4.73
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,法令順守意識,4.72
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,法令順守意識,4.72
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,法令順守意識,4.77
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,法令順守意識,4.79
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,法令順守意識,4.81
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,法令順守意識,4.83
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,法令順守意識,4.82
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,法令順守意識,4.86
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,法令順守意識,4.85
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2016,人事評価の適正感,3.27
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2017,人事評価の適正感,3.25
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2018,人事評価の適正感,3.26
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2019,人事評価の適正感,3.28
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2020,人事評価の適正感,3.28
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2021,人事評価の適正感,3.33
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2022,人事評価の適正感,3.38
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2023,人事評価の適正感,3.33
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2024,人事評価の適正感,3.25
2025/6/30,村田製作所,6981,TOPIX Core30,a0910000000FrTN,2025,人事評価の適正感,3.22
