date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2016,クチコミ総合評価,3.32
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2017,クチコミ総合評価,3.27
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2018,クチコミ総合評価,3.34
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2019,クチコミ総合評価,3.44
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2020,クチコミ総合評価,3.51
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2021,クチコミ総合評価,3.65
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2022,クチコミ総合評価,3.7
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2023,クチコミ総合評価,3.73
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2024,クチコミ総合評価,3.89
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2025,クチコミ総合評価,4.25
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2016,待遇面の満足度,3.93
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2017,待遇面の満足度,3.94
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2018,待遇面の満足度,3.94
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2019,待遇面の満足度,4.03
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2020,待遇面の満足度,3.97
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2021,待遇面の満足度,4.08
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2022,待遇面の満足度,4.08
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2023,待遇面の満足度,4.09
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2024,待遇面の満足度,4.22
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2025,待遇面の満足度,4.35
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2016,社員の士気,2.8
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2017,社員の士気,2.74
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2018,社員の士気,2.76
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2019,社員の士気,2.78
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2020,社員の士気,2.83
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2021,社員の士気,2.93
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2022,社員の士気,2.98
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2023,社員の士気,2.96
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2024,社員の士気,3.08
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2025,社員の士気,3.66
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2016,風通しの良さ,3.16
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2017,風通しの良さ,3.14
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2018,風通しの良さ,3.34
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2019,風通しの良さ,3.47
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2020,風通しの良さ,3.59
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2021,風通しの良さ,3.68
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2022,風通しの良さ,3.76
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2023,風通しの良さ,3.84
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2024,風通しの良さ,4.02
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2025,風通しの良さ,4.13
2025/6/30,日東電工,6988,TOPIX Mid400,a0910000000FrTR,2016,社員の相互尊重,3.16
