date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,クチコミ総合評価,3.34
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,クチコミ総合評価,3.32
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,クチコミ総合評価,3.3
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,クチコミ総合評価,3.3
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,クチコミ総合評価,3.29
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,クチコミ総合評価,3.3
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,クチコミ総合評価,3.32
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,クチコミ総合評価,3.42
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,クチコミ総合評価,3.68
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,クチコミ総合評価,3.58
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,待遇面の満足度,3.81
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,待遇面の満足度,3.78
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,待遇面の満足度,3.75
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,待遇面の満足度,3.76
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,待遇面の満足度,3.75
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,待遇面の満足度,3.73
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,待遇面の満足度,3.67
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,待遇面の満足度,3.66
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,待遇面の満足度,3.89
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,待遇面の満足度,3.89
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,社員の士気,2.92
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,社員の士気,2.91
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,社員の士気,2.87
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,社員の士気,2.86
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,社員の士気,2.84
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,社員の士気,2.85
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,社員の士気,2.88
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,社員の士気,2.99
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,社員の士気,3.27
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,社員の士気,3.24
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,風通しの良さ,2.84
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,風通しの良さ,2.83
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,風通しの良さ,2.82
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,風通しの良さ,2.83
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,風通しの良さ,2.85
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,風通しの良さ,2.85
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,風通しの良さ,2.87
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,風通しの良さ,2.94
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,風通しの良さ,3.14
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,風通しの良さ,3.16
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,社員の相互尊重,3.2
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,社員の相互尊重,3.17
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,社員の相互尊重,3.16
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,社員の相互尊重,3.12
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,社員の相互尊重,3.13
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,社員の相互尊重,3.17
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,社員の相互尊重,3.2
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,社員の相互尊重,3.34
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,社員の相互尊重,3.56
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,社員の相互尊重,3.46
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,20代成長環境,3.08
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,20代成長環境,3.03
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,20代成長環境,3.01
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,20代成長環境,3.02
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,20代成長環境,3
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,20代成長環境,3
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,20代成長環境,3.01
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,20代成長環境,3.27
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,20代成長環境,3.62
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,20代成長環境,3.42
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,人材の長期育成,2.93
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,人材の長期育成,2.9
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,人材の長期育成,2.91
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,人材の長期育成,2.9
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,人材の長期育成,2.89
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,人材の長期育成,2.9
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,人材の長期育成,2.95
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,人材の長期育成,2.98
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,人材の長期育成,3.19
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,人材の長期育成,3.08
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,法令順守意識,4.73
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,法令順守意識,4.75
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2018,法令順守意識,4.78
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2019,法令順守意識,4.78
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2020,法令順守意識,4.8
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2021,法令順守意識,4.81
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2022,法令順守意識,4.81
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2023,法令順守意識,4.87
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2024,法令順守意識,4.88
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2025,法令順守意識,4.74
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2016,人事評価の適正感,2.66
2025/6/30,三菱重工業,7011,TOPIX Core30,a0910000000FrTf,2017,人事評価の適正感,2.63
