date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,クチコミ総合評価,2.95
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,クチコミ総合評価,3.07
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,クチコミ総合評価,3.04
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,クチコミ総合評価,2.96
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,クチコミ総合評価,2.98
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,クチコミ総合評価,3.05
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,クチコミ総合評価,2.9
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,クチコミ総合評価,2.76
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,待遇面の満足度,3.39
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,待遇面の満足度,3.57
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,待遇面の満足度,3.73
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,待遇面の満足度,3.65
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,待遇面の満足度,3.57
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,待遇面の満足度,3.95
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,待遇面の満足度,4.11
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,待遇面の満足度,3.65
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,社員の士気,2.79
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,社員の士気,2.79
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,社員の士気,2.89
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,社員の士気,2.81
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,社員の士気,2.79
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,社員の士気,2.7
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,社員の士気,2.63
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,社員の士気,2.63
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,風通しの良さ,2.89
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,風通しの良さ,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,風通しの良さ,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,風通しの良さ,2.91
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,風通しの良さ,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,風通しの良さ,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,風通しの良さ,2.63
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,風通しの良さ,2.26
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,社員の相互尊重,2.89
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,社員の相互尊重,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,社員の相互尊重,3
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,社員の相互尊重,2.91
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,社員の相互尊重,2.89
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,社員の相互尊重,2.85
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,社員の相互尊重,2.44
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,社員の相互尊重,2.26
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,20代成長環境,2.58
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,20代成長環境,2.68
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,20代成長環境,2.68
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2017,20代成長環境,2.54
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2018,20代成長環境,2.58
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2019,20代成長環境,2.56
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2020,20代成長環境,2.26
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2021,20代成長環境,1.89
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2014,人材の長期育成,2.47
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2015,人材の長期育成,2.58
2025/6/30,全国保証,7164,TOPIX Mid400,a0C1000000TYfnj,2016,人材の長期育成,2.58
