date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2016,クチコミ総合評価,3.1
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2017,クチコミ総合評価,3.08
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2018,クチコミ総合評価,3.08
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2019,クチコミ総合評価,3.13
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2020,クチコミ総合評価,3.19
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2021,クチコミ総合評価,3.26
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2022,クチコミ総合評価,3.37
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2023,クチコミ総合評価,3.58
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2024,クチコミ総合評価,3.64
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2025,クチコミ総合評価,3.69
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2016,待遇面の満足度,3.09
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2017,待遇面の満足度,3.1
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2018,待遇面の満足度,3.08
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2019,待遇面の満足度,3.26
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2020,待遇面の満足度,3.45
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2021,待遇面の満足度,3.6
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2022,待遇面の満足度,3.8
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2023,待遇面の満足度,3.94
2025/6/30,めぶきフィナンシャルグループ,7167,TOPIX Mid400,a0910000000Frng,2024,待遇面の満足度,3.88
