date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,クチコミ総合評価,3.43
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,クチコミ総合評価,3.37
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,クチコミ総合評価,3.45
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,クチコミ総合評価,3.46
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,クチコミ総合評価,3.61
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,クチコミ総合評価,3.64
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,クチコミ総合評価,3.41
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,クチコミ総合評価,3.61
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,クチコミ総合評価,3.57
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,クチコミ総合評価,3.48
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,待遇面の満足度,3.4
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,待遇面の満足度,3.37
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,待遇面の満足度,3.5
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,待遇面の満足度,3.49
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,待遇面の満足度,3.61
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,待遇面の満足度,3.76
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,待遇面の満足度,3.66
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,待遇面の満足度,3.93
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,待遇面の満足度,3.88
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,待遇面の満足度,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,社員の士気,2.88
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,社員の士気,2.84
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,社員の士気,2.94
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,社員の士気,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,社員の士気,3.14
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,社員の士気,3.15
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,社員の士気,3.06
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,社員の士気,3.14
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,社員の士気,3.14
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,社員の士気,3.88
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,風通しの良さ,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,風通しの良さ,2.96
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,風通しの良さ,3.06
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,風通しの良さ,3.07
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,風通しの良さ,3.28
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,風通しの良さ,3.38
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,風通しの良さ,3.16
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,風通しの良さ,3.34
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,風通しの良さ,3.28
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,風通しの良さ,3.88
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,社員の相互尊重,3.47
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,社員の相互尊重,3.4
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,社員の相互尊重,3.53
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,社員の相互尊重,3.68
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,社員の相互尊重,3.53
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,社員の相互尊重,3.42
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,社員の相互尊重,3.16
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,社員の相互尊重,3.07
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,社員の相互尊重,2.86
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,社員の相互尊重,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,20代成長環境,2.79
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,20代成長環境,2.73
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,20代成長環境,2.76
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,20代成長環境,2.72
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,20代成長環境,2.88
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,20代成長環境,2.9
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,20代成長環境,2.81
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,20代成長環境,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,20代成長環境,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,20代成長環境,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,人材の長期育成,3.16
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,人材の長期育成,3.06
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,人材の長期育成,3.09
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,人材の長期育成,3.07
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,人材の長期育成,3.36
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,人材の長期育成,3.42
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2022,人材の長期育成,3.06
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2023,人材の長期育成,3.34
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2024,人材の長期育成,3.65
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2025,人材の長期育成,3
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2016,法令順守意識,4.82
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2017,法令順守意識,4.79
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2018,法令順守意識,4.79
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2019,法令順守意識,4.78
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2020,法令順守意識,4.78
2025/6/30,九州フィナンシャルグループ,7180,TOPIX Mid400,a0910000000FroP,2021,法令順守意識,4.83
