date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2016,クチコミ総合評価,3.48
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2017,クチコミ総合評価,3.44
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2018,クチコミ総合評価,3.43
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2019,クチコミ総合評価,3.43
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2020,クチコミ総合評価,3.52
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2021,クチコミ総合評価,3.53
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2022,クチコミ総合評価,3.56
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2023,クチコミ総合評価,3.58
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2024,クチコミ総合評価,3.56
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2025,クチコミ総合評価,3.5
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2016,待遇面の満足度,3.85
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2017,待遇面の満足度,3.87
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2018,待遇面の満足度,3.88
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2019,待遇面の満足度,3.85
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2020,待遇面の満足度,3.89
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2021,待遇面の満足度,3.87
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2022,待遇面の満足度,3.86
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2023,待遇面の満足度,3.89
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2024,待遇面の満足度,3.91
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2025,待遇面の満足度,3.94
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2016,社員の士気,2.86
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2017,社員の士気,2.84
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2018,社員の士気,2.82
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2019,社員の士気,2.8
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2020,社員の士気,2.86
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2021,社員の士気,2.88
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2022,社員の士気,2.9
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2023,社員の士気,2.89
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2024,社員の士気,2.85
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2025,社員の士気,2.79
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2016,風通しの良さ,3.24
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2017,風通しの良さ,3.18
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2018,風通しの良さ,3.14
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2019,風通しの良さ,3.15
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2020,風通しの良さ,3.26
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2021,風通しの良さ,3.25
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2022,風通しの良さ,3.26
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2023,風通しの良さ,3.25
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2024,風通しの良さ,3.2
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2025,風通しの良さ,3.1
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2016,社員の相互尊重,2.94
2025/6/30,日産自動車,7201,TOPIX Large70,a0910000000FrTp,2017,社員の相互尊重,2.92
