date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2016,クチコミ総合評価,3.03
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2017,クチコミ総合評価,3.02
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2018,クチコミ総合評価,3.01
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2019,クチコミ総合評価,2.98
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2020,クチコミ総合評価,3
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2021,クチコミ総合評価,3.01
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2022,クチコミ総合評価,3.05
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2023,クチコミ総合評価,3.04
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2024,クチコミ総合評価,3.13
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2025,クチコミ総合評価,3.16
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2016,待遇面の満足度,2.76
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2017,待遇面の満足度,2.72
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2018,待遇面の満足度,2.73
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2019,待遇面の満足度,2.71
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2020,待遇面の満足度,2.72
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2021,待遇面の満足度,2.71
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2022,待遇面の満足度,2.72
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2023,待遇面の満足度,2.65
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2024,待遇面の満足度,2.69
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2025,待遇面の満足度,2.5
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2016,社員の士気,2.68
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2017,社員の士気,2.67
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2018,社員の士気,2.66
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2019,社員の士気,2.61
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2020,社員の士気,2.62
2025/6/30,いすゞ自動車,7202,TOPIX Mid400,a0910000000FrTq,2021,社員の士気,2.62
