date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2016,クチコミ総合評価,3.04
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2017,クチコミ総合評価,3.01
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2018,クチコミ総合評価,3.01
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2019,クチコミ総合評価,2.98
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2020,クチコミ総合評価,2.99
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2021,クチコミ総合評価,2.98
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2022,クチコミ総合評価,3.06
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2023,クチコミ総合評価,3.13
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2024,クチコミ総合評価,3.07
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2025,クチコミ総合評価,2.93
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2016,待遇面の満足度,3.71
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2017,待遇面の満足度,3.66
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2018,待遇面の満足度,3.64
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2019,待遇面の満足度,3.63
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2020,待遇面の満足度,3.58
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2021,待遇面の満足度,3.49
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2022,待遇面の満足度,3.56
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2023,待遇面の満足度,3.52
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2024,待遇面の満足度,3.33
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2025,待遇面の満足度,3.1
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2016,社員の士気,2.52
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2017,社員の士気,2.47
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2018,社員の士気,2.44
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2019,社員の士気,2.41
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2020,社員の士気,2.42
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2021,社員の士気,2.39
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2022,社員の士気,2.46
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2023,社員の士気,2.5
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2024,社員の士気,2.49
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2025,社員の士気,2.4
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2016,風通しの良さ,3.13
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2017,風通しの良さ,3.12
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2018,風通しの良さ,3.18
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2019,風通しの良さ,3.08
2025/6/30,ＮＯＫ,7240,TOPIX Mid400,a0910000000FrUJ,2020,風通しの良さ,3.08
