date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2016,クチコミ総合評価,3.18
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2017,クチコミ総合評価,3.18
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2018,クチコミ総合評価,3.17
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2019,クチコミ総合評価,3.17
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2020,クチコミ総合評価,3.18
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2021,クチコミ総合評価,3.22
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2022,クチコミ総合評価,3.26
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2023,クチコミ総合評価,3.25
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2024,クチコミ総合評価,3.24
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2025,クチコミ総合評価,3.37
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2016,待遇面の満足度,3.65
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2017,待遇面の満足度,3.64
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2018,待遇面の満足度,3.6
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2019,待遇面の満足度,3.54
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2020,待遇面の満足度,3.49
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2021,待遇面の満足度,3.51
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2022,待遇面の満足度,3.55
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2023,待遇面の満足度,3.51
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2024,待遇面の満足度,3.5
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2025,待遇面の満足度,3.75
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2016,社員の士気,2.61
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2017,社員の士気,2.62
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2018,社員の士気,2.62
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2019,社員の士気,2.62
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2020,社員の士気,2.65
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2021,社員の士気,2.7
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2022,社員の士気,2.72
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2023,社員の士気,2.74
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2024,社員の士気,2.7
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2025,社員の士気,2.71
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2016,風通しの良さ,2.96
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2017,風通しの良さ,2.96
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2018,風通しの良さ,2.97
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2019,風通しの良さ,2.99
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2020,風通しの良さ,3.02
2025/6/30,アイシン,7259,TOPIX Mid400,a0910000000FrWA,2021,風通しの良さ,3.09
