date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2016,クチコミ総合評価,3.37
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2017,クチコミ総合評価,3.35
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2018,クチコミ総合評価,3.28
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2019,クチコミ総合評価,3.26
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2020,クチコミ総合評価,3.25
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2021,クチコミ総合評価,3.26
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2022,クチコミ総合評価,3.23
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2023,クチコミ総合評価,3.18
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2024,クチコミ総合評価,3.21
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2025,クチコミ総合評価,3.25
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2016,待遇面の満足度,2.77
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2017,待遇面の満足度,2.73
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2018,待遇面の満足度,2.69
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2019,待遇面の満足度,2.7
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2020,待遇面の満足度,2.72
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2021,待遇面の満足度,2.7
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2022,待遇面の満足度,2.66
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2023,待遇面の満足度,2.62
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2024,待遇面の満足度,2.65
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2025,待遇面の満足度,2.6
2025/6/30,マツダ,7261,TOPIX Mid400,a0910000000FrWC,2016,社員の士気,2.98
