date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,クチコミ総合評価,3.17
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,クチコミ総合評価,3.18
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,クチコミ総合評価,3.18
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,クチコミ総合評価,3.17
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,クチコミ総合評価,3.16
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,クチコミ総合評価,3.14
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,クチコミ総合評価,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,クチコミ総合評価,3.19
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,クチコミ総合評価,3.23
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,クチコミ総合評価,3.18
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,待遇面の満足度,3.76
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,待遇面の満足度,3.77
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,待遇面の満足度,3.79
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,待遇面の満足度,3.76
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,待遇面の満足度,3.72
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,待遇面の満足度,3.64
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,待遇面の満足度,3.66
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,待遇面の満足度,3.75
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,待遇面の満足度,3.76
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,待遇面の満足度,3.64
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,社員の士気,2.63
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,社員の士気,2.64
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,社員の士気,2.65
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,社員の士気,2.63
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,社員の士気,2.64
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,社員の士気,2.64
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,社員の士気,2.63
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,社員の士気,2.68
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,社員の士気,2.74
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,社員の士気,2.87
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,風通しの良さ,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,風通しの良さ,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,風通しの良さ,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,風通しの良さ,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,風通しの良さ,3.13
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,風通しの良さ,3.06
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,風通しの良さ,3.02
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,風通しの良さ,3.14
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,風通しの良さ,3.19
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,風通しの良さ,3.23
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,社員の相互尊重,2.99
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,社員の相互尊重,2.99
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,社員の相互尊重,2.95
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,社員の相互尊重,2.92
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,社員の相互尊重,2.93
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,社員の相互尊重,2.92
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,社員の相互尊重,2.92
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,社員の相互尊重,2.92
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,社員の相互尊重,2.96
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,社員の相互尊重,2.9
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,20代成長環境,2.57
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,20代成長環境,2.57
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,20代成長環境,2.56
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,20代成長環境,2.57
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,20代成長環境,2.57
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,20代成長環境,2.58
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,20代成長環境,2.57
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,20代成長環境,2.65
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,20代成長環境,2.73
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,20代成長環境,2.67
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,人材の長期育成,2.44
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,人材の長期育成,2.43
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,人材の長期育成,2.45
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2019,人材の長期育成,2.44
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2020,人材の長期育成,2.44
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2021,人材の長期育成,2.45
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2022,人材の長期育成,2.44
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2023,人材の長期育成,2.48
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2024,人材の長期育成,2.45
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2025,人材の長期育成,2.33
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2016,法令順守意識,4.74
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2017,法令順守意識,4.75
2025/6/30,本田技研工業,7267,TOPIX Core30,a0910000000FrWI,2018,法令順守意識,4.76
