date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2016,クチコミ総合評価,3.55
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2017,クチコミ総合評価,3.51
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2018,クチコミ総合評価,3.56
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2019,クチコミ総合評価,3.56
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2020,クチコミ総合評価,3.59
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2021,クチコミ総合評価,3.55
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2022,クチコミ総合評価,3.62
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2023,クチコミ総合評価,3.7
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2024,クチコミ総合評価,3.66
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2025,クチコミ総合評価,3.88
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2016,待遇面の満足度,3.46
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2017,待遇面の満足度,3.45
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2018,待遇面の満足度,3.54
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2019,待遇面の満足度,3.51
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2020,待遇面の満足度,3.46
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2021,待遇面の満足度,3.38
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2022,待遇面の満足度,3.44
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2023,待遇面の満足度,3.6
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2024,待遇面の満足度,3.39
2025/6/30,ヤマハ発動機,7272,TOPIX Mid400,a0910000000FrWN,2025,待遇面の満足度,3.59
