date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2016,クチコミ総合評価,2.73
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2017,クチコミ総合評価,2.71
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2018,クチコミ総合評価,2.72
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2019,クチコミ総合評価,2.72
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2020,クチコミ総合評価,2.75
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2021,クチコミ総合評価,2.76
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2022,クチコミ総合評価,2.78
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2023,クチコミ総合評価,2.78
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2024,クチコミ総合評価,2.68
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2025,クチコミ総合評価,2.84
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2016,待遇面の満足度,2.57
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2017,待遇面の満足度,2.5
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2018,待遇面の満足度,2.5
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2019,待遇面の満足度,2.43
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2020,待遇面の満足度,2.34
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2021,待遇面の満足度,2.29
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2022,待遇面の満足度,2.26
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2023,待遇面の満足度,2.3
2025/6/30,小糸製作所,7276,TOPIX Mid400,a0910000000FrWQ,2024,待遇面の満足度,2.35
