date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,クチコミ総合評価,2.95
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,クチコミ総合評価,2.95
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,クチコミ総合評価,2.95
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,クチコミ総合評価,2.95
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,クチコミ総合評価,3
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,クチコミ総合評価,3.05
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,クチコミ総合評価,3.02
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,クチコミ総合評価,3
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,クチコミ総合評価,3.07
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,クチコミ総合評価,3.28
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,待遇面の満足度,2.84
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,待遇面の満足度,2.84
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,待遇面の満足度,2.79
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,待遇面の満足度,2.79
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,待遇面の満足度,2.77
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,待遇面の満足度,2.75
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,待遇面の満足度,2.79
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,待遇面の満足度,2.79
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,待遇面の満足度,2.81
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,待遇面の満足度,3
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,社員の士気,2.44
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,社員の士気,2.42
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,社員の士気,2.46
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,社員の士気,2.45
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,社員の士気,2.49
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,社員の士気,2.55
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,社員の士気,2.51
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,社員の士気,2.5
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,社員の士気,2.47
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,社員の士気,2.59
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,風通しの良さ,2.94
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,風通しの良さ,2.95
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,風通しの良さ,2.96
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,風通しの良さ,2.99
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,風通しの良さ,3.22
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,風通しの良さ,3.33
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,風通しの良さ,3.28
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,風通しの良さ,3.29
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,風通しの良さ,3.29
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,風通しの良さ,3.34
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,社員の相互尊重,2.74
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,社員の相互尊重,2.77
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,社員の相互尊重,2.83
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,社員の相互尊重,2.82
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,社員の相互尊重,2.9
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,社員の相互尊重,2.97
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,社員の相互尊重,2.97
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,社員の相互尊重,2.99
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,社員の相互尊重,3.17
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,社員の相互尊重,3.44
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,20代成長環境,2.76
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,20代成長環境,2.76
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,20代成長環境,2.72
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,20代成長環境,2.69
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,20代成長環境,2.68
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,20代成長環境,2.7
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,20代成長環境,2.62
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,20代成長環境,2.63
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,20代成長環境,2.68
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,20代成長環境,2.76
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,人材の長期育成,2.69
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2017,人材の長期育成,2.68
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2018,人材の長期育成,2.62
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2019,人材の長期育成,2.6
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2020,人材の長期育成,2.59
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2021,人材の長期育成,2.66
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2022,人材の長期育成,2.63
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2023,人材の長期育成,2.54
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2024,人材の長期育成,2.6
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2025,人材の長期育成,3.23
2025/6/30,豊田合成,7282,TOPIX Mid400,a0910000000FrWV,2016,法令順守意識,4.37
