date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2016,クチコミ総合評価,3.02
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2017,クチコミ総合評価,3.03
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2018,クチコミ総合評価,3.06
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2019,クチコミ総合評価,3.05
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2020,クチコミ総合評価,3.08
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2021,クチコミ総合評価,3.04
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2022,クチコミ総合評価,3.06
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2023,クチコミ総合評価,2.95
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2024,クチコミ総合評価,2.93
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2025,クチコミ総合評価,3.2
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2016,待遇面の満足度,3.76
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2017,待遇面の満足度,3.7
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2018,待遇面の満足度,3.72
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2019,待遇面の満足度,3.71
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2020,待遇面の満足度,3.74
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2021,待遇面の満足度,3.73
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2022,待遇面の満足度,3.71
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2023,待遇面の満足度,3.41
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2024,待遇面の満足度,3.37
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2025,待遇面の満足度,3.79
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2016,社員の士気,2.41
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2017,社員の士気,2.44
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2018,社員の士気,2.48
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2019,社員の士気,2.52
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2020,社員の士気,2.5
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2021,社員の士気,2.43
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2022,社員の士気,2.35
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2023,社員の士気,2.24
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2024,社員の士気,2.31
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2025,社員の士気,2.33
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2016,風通しの良さ,3.09
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2017,風通しの良さ,3.14
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2018,風通しの良さ,3.23
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2019,風通しの良さ,3.15
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2020,風通しの良さ,3.35
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2021,風通しの良さ,3.18
2025/6/30,テイ・エス　テック,7313,TOPIX Mid400,a0910000000FrWm,2022,風通しの良さ,3.25
