date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,クチコミ総合評価,3.25
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,クチコミ総合評価,3.19
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,クチコミ総合評価,3.2
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,クチコミ総合評価,3.22
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,クチコミ総合評価,3.21
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,クチコミ総合評価,3.23
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,クチコミ総合評価,3.23
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,クチコミ総合評価,3.28
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,クチコミ総合評価,3.51
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,クチコミ総合評価,3.49
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,待遇面の満足度,2.68
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,待遇面の満足度,2.69
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,待遇面の満足度,2.65
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,待遇面の満足度,2.65
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,待遇面の満足度,2.66
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,待遇面の満足度,2.71
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,待遇面の満足度,2.74
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,待遇面の満足度,2.93
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,待遇面の満足度,3.29
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,待遇面の満足度,2.89
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,社員の士気,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,社員の士気,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,社員の士気,3
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,社員の士気,3
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,社員の士気,2.92
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,社員の士気,2.89
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,社員の士気,2.87
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,社員の士気,2.88
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,社員の士気,3.17
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,社員の士気,3.3
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,風通しの良さ,3.01
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,風通しの良さ,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,風通しの良さ,3
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,風通しの良さ,2.99
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,風通しの良さ,2.95
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,風通しの良さ,2.96
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,風通しの良さ,2.94
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,風通しの良さ,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,風通しの良さ,3.29
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,風通しの良さ,3.2
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,社員の相互尊重,3.53
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,社員の相互尊重,3.44
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,社員の相互尊重,3.5
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,社員の相互尊重,3.55
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,社員の相互尊重,3.52
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,社員の相互尊重,3.49
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,社員の相互尊重,3.35
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,社員の相互尊重,3.42
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,社員の相互尊重,3.41
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,社員の相互尊重,3.58
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,20代成長環境,3.21
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,20代成長環境,3.01
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,20代成長環境,2.97
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,20代成長環境,3.02
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,20代成長環境,3.08
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,20代成長環境,3.17
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,20代成長環境,3.41
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,20代成長環境,3.4
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,20代成長環境,3.45
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,20代成長環境,3.58
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,人材の長期育成,2.7
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,人材の長期育成,2.64
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,人材の長期育成,2.62
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,人材の長期育成,2.59
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,人材の長期育成,2.57
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,人材の長期育成,2.61
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,人材の長期育成,2.57
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,人材の長期育成,2.53
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,人材の長期育成,2.7
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,人材の長期育成,2.84
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,法令順守意識,4.41
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,法令順守意識,4.42
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,法令順守意識,4.48
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,法令順守意識,4.54
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,法令順守意識,4.53
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,法令順守意識,4.49
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,法令順守意識,4.41
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,法令順守意識,4.32
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,法令順守意識,4.36
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,法令順守意識,4.2
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,人事評価の適正感,2.93
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,人事評価の適正感,2.88
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,人事評価の適正感,2.93
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,人事評価の適正感,2.95
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,人事評価の適正感,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,人事評価の適正感,3.01
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,人事評価の適正感,2.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,人事評価の適正感,3.11
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,人事評価の適正感,3.29
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,人事評価の適正感,3.2
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,有給休暇消化率,50.9
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,有給休暇消化率,53.35
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,有給休暇消化率,54.98
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,有給休暇消化率,55.46
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,有給休暇消化率,57.66
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,有給休暇消化率,59.16
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,有給休暇消化率,60.25
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2023,有給休暇消化率,64.56
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2024,有給休暇消化率,69.24
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2025,有給休暇消化率,67.37
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2016,残業時間(月間),19.36
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2017,残業時間(月間),19.52
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2018,残業時間(月間),19.3
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2019,残業時間(月間),19.37
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2020,残業時間(月間),18.55
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2021,残業時間(月間),17.6
2025/6/30,良品計画,7453,TOPIX Mid400,a0910000000FrXP,2022,残業時間(月間),16.54
