date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2016,クチコミ総合評価,2.59
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2017,クチコミ総合評価,2.66
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2018,クチコミ総合評価,2.75
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2019,クチコミ総合評価,2.78
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2020,クチコミ総合評価,2.91
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2021,クチコミ総合評価,2.92
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2022,クチコミ総合評価,2.93
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2023,クチコミ総合評価,2.8
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2024,クチコミ総合評価,2.89
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2025,クチコミ総合評価,2.85
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2016,待遇面の満足度,2.84
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2017,待遇面の満足度,2.85
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2018,待遇面の満足度,2.85
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2019,待遇面の満足度,2.79
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2020,待遇面の満足度,3
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2021,待遇面の満足度,2.98
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2022,待遇面の満足度,2.98
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2023,待遇面の満足度,2.87
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2024,待遇面の満足度,3.11
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2025,待遇面の満足度,3.47
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2016,社員の士気,2.48
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2017,社員の士気,2.64
2025/6/30,第一興商,7458,TOPIX Mid400,a0910000000FrXT,2018,社員の士気,2.66
