date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,クチコミ総合評価,2.92
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,クチコミ総合評価,2.93
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,クチコミ総合評価,2.9
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,クチコミ総合評価,2.86
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,クチコミ総合評価,2.86
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2021,クチコミ総合評価,2.89
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2022,クチコミ総合評価,2.87
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2023,クチコミ総合評価,2.91
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2024,クチコミ総合評価,3
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2025,クチコミ総合評価,2.96
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,待遇面の満足度,2.9
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,待遇面の満足度,2.89
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,待遇面の満足度,2.78
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,待遇面の満足度,2.77
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,待遇面の満足度,2.71
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2021,待遇面の満足度,2.7
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2022,待遇面の満足度,2.66
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2023,待遇面の満足度,2.68
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2024,待遇面の満足度,2.67
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2025,待遇面の満足度,2.5
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,社員の士気,2.43
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,社員の士気,2.43
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,社員の士気,2.38
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,社員の士気,2.31
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,社員の士気,2.31
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2021,社員の士気,2.39
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2022,社員の士気,2.38
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2023,社員の士気,2.41
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2024,社員の士気,2.38
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2025,社員の士気,2.33
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,風通しの良さ,2.82
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,風通しの良さ,2.86
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,風通しの良さ,2.85
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,風通しの良さ,2.85
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,風通しの良さ,2.84
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2021,風通しの良さ,2.86
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2022,風通しの良さ,2.89
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2023,風通しの良さ,3.05
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2024,風通しの良さ,3.39
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2025,風通しの良さ,4.5
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,社員の相互尊重,2.98
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,社員の相互尊重,2.99
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,社員の相互尊重,2.95
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,社員の相互尊重,2.87
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,社員の相互尊重,2.95
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2021,社員の相互尊重,2.98
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2022,社員の相互尊重,2.93
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2023,社員の相互尊重,3.05
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2024,社員の相互尊重,3.24
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2025,社員の相互尊重,2.83
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2016,20代成長環境,2.36
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2017,20代成長環境,2.35
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2018,20代成長環境,2.33
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2019,20代成長環境,2.25
2025/6/30,メディパルホールディングス,7459,TOPIX Mid400,a0C1000000RNdj6,2020,20代成長環境,2.18
