date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,クチコミ総合評価,2.92
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,クチコミ総合評価,2.92
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,クチコミ総合評価,2.98
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,クチコミ総合評価,2.9
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,クチコミ総合評価,2.83
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,クチコミ総合評価,2.73
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,クチコミ総合評価,2.73
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,クチコミ総合評価,2.66
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,クチコミ総合評価,2.51
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,クチコミ総合評価,2.18
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,待遇面の満足度,2.34
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,待遇面の満足度,2.29
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,待遇面の満足度,2.61
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,待遇面の満足度,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,待遇面の満足度,2.34
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,待遇面の満足度,2.65
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,待遇面の満足度,2.65
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,待遇面の満足度,2.61
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,待遇面の満足度,2.24
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,待遇面の満足度,2.11
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,社員の士気,2.56
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,社員の士気,2.65
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,社員の士気,2.7
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,社員の士気,2.65
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,社員の士気,2.67
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,社員の士気,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,社員の士気,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,社員の士気,2.41
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,社員の士気,2.24
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,社員の士気,2.11
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,風通しの良さ,3.78
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,風通しの良さ,3.64
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,風通しの良さ,3.54
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,風通しの良さ,3.49
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,風通しの良さ,3.42
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,風通しの良さ,3
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,風通しの良さ,3
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,風通しの良さ,2.9
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,風通しの良さ,2.87
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,風通しの良さ,2.11
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,社員の相互尊重,2.56
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,社員の相互尊重,2.82
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,社員の相互尊重,2.8
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,社員の相互尊重,2.73
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,社員の相互尊重,2.67
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,社員の相互尊重,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,社員の相互尊重,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,社員の相互尊重,2.41
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,社員の相互尊重,2.24
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,社員の相互尊重,1.67
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,20代成長環境,2.56
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,20代成長環境,2.47
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,20代成長環境,2.41
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,20代成長環境,2.29
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,20代成長環境,2.22
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,20代成長環境,2.11
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,20代成長環境,2.11
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2023,20代成長環境,2.02
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2024,20代成長環境,1.86
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2025,20代成長環境,1.23
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2016,人材の長期育成,2.78
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2017,人材の長期育成,2.65
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2018,人材の長期育成,2.8
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2019,人材の長期育成,2.73
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2020,人材の長期育成,2.67
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2021,人材の長期育成,2.56
2025/6/30,アズワン,7476,TOPIX Mid400,a0910000000FrXi,2022,人材の長期育成,2.56
