date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,クチコミ総合評価,2.71
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,クチコミ総合評価,2.7
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,クチコミ総合評価,2.6
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,クチコミ総合評価,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,クチコミ総合評価,2.7
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,クチコミ総合評価,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,クチコミ総合評価,2.75
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2022,クチコミ総合評価,2.81
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2023,クチコミ総合評価,2.58
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2024,クチコミ総合評価,2.43
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,待遇面の満足度,2.53
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,待遇面の満足度,2.57
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,待遇面の満足度,2.5
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,待遇面の満足度,2.56
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,待遇面の満足度,2.6
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,待遇面の満足度,2.6
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,待遇面の満足度,2.71
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2022,待遇面の満足度,2.71
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2023,待遇面の満足度,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2024,待遇面の満足度,3
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,社員の士気,2.74
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,社員の士気,2.57
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,社員の士気,2.4
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,社員の士気,2.78
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,社員の士気,2.8
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,社員の士気,2.8
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,社員の士気,2.86
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2022,社員の士気,2.86
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2023,社員の士気,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2024,社員の士気,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,風通しの良さ,2.74
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,風通しの良さ,2.71
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,風通しの良さ,2.6
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,風通しの良さ,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,風通しの良さ,2.6
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,風通しの良さ,2.5
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,風通しの良さ,2.57
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2022,風通しの良さ,2.57
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2023,風通しの良さ,2
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2024,風通しの良さ,2
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,社員の相互尊重,3
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,社員の相互尊重,3
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,社員の相互尊重,2.9
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,社員の相互尊重,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,社員の相互尊重,2.9
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,社員の相互尊重,2.9
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,社員の相互尊重,3
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2022,社員の相互尊重,2.86
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2023,社員の相互尊重,2.67
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2024,社員の相互尊重,2.33
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2015,20代成長環境,2.68
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2016,20代成長環境,2.71
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2017,20代成長環境,2.5
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2018,20代成長環境,2.44
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2019,20代成長環境,2.7
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2020,20代成長環境,2.7
2025/6/30,コロワイド,7616,TOPIX Mid400,a0910000000Frb6,2021,20代成長環境,2.71
