date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2016,クチコミ総合評価,3.57
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2017,クチコミ総合評価,3.59
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2018,クチコミ総合評価,3.55
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2019,クチコミ総合評価,3.65
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2020,クチコミ総合評価,3.71
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2021,クチコミ総合評価,3.63
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2022,クチコミ総合評価,3.68
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2023,クチコミ総合評価,3.72
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2024,クチコミ総合評価,3.77
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2025,クチコミ総合評価,3.98
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2016,待遇面の満足度,4.01
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2017,待遇面の満足度,4.06
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2018,待遇面の満足度,4.02
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2019,待遇面の満足度,4.15
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2020,待遇面の満足度,4.16
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2021,待遇面の満足度,4.16
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2022,待遇面の満足度,4.22
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2023,待遇面の満足度,4.14
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2024,待遇面の満足度,4.27
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2025,待遇面の満足度,4.6
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2016,社員の士気,3
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2017,社員の士気,3.05
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2018,社員の士気,2.99
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2019,社員の士気,3.14
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2020,社員の士気,3.26
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2021,社員の士気,3.2
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2022,社員の士気,3.2
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2023,社員の士気,3.2
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2024,社員の士気,3.16
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2025,社員の士気,3.42
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2016,風通しの良さ,3.74
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2017,風通しの良さ,3.75
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2018,風通しの良さ,3.69
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2019,風通しの良さ,3.79
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2020,風通しの良さ,3.78
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2021,風通しの良さ,3.68
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2022,風通しの良さ,3.84
2025/6/30,島津製作所,7701,TOPIX Mid400,a0910000000Frbc,2023,風通しの良さ,3.86
