date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,クチコミ総合評価,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,クチコミ総合評価,2.8
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,クチコミ総合評価,2.73
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,クチコミ総合評価,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,クチコミ総合評価,2.74
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,クチコミ総合評価,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,クチコミ総合評価,2.85
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,クチコミ総合評価,3
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,クチコミ総合評価,3.24
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,クチコミ総合評価,3.11
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,待遇面の満足度,3.26
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,待遇面の満足度,3.12
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,待遇面の満足度,3.21
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,待遇面の満足度,3.12
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,待遇面の満足度,2.92
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,待遇面の満足度,2.88
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,待遇面の満足度,2.86
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,待遇面の満足度,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,待遇面の満足度,3.53
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,待遇面の満足度,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,社員の士気,2.63
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,社員の士気,2.59
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,社員の士気,2.62
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,社員の士気,2.56
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,社員の士気,2.58
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,社員の士気,2.58
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,社員の士気,2.59
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,社員の士気,2.67
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,社員の士気,3
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,社員の士気,3.47
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,風通しの良さ,2.53
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,風通しの良さ,2.69
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,風通しの良さ,2.65
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,風通しの良さ,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,風通しの良さ,2.77
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,風通しの良さ,2.85
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,風通しの良さ,2.86
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,風通しの良さ,3.16
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,風通しの良さ,3
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,風通しの良さ,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,社員の相互尊重,2.53
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,社員の相互尊重,2.63
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,社員の相互尊重,2.54
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,社員の相互尊重,2.63
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,社員の相互尊重,2.69
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,社員の相互尊重,2.73
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,社員の相互尊重,2.82
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,社員の相互尊重,3.16
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,社員の相互尊重,3.28
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,社員の相互尊重,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,20代成長環境,2.92
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2017,20代成長環境,3.1
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2018,20代成長環境,2.85
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2019,20代成長環境,2.75
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2020,20代成長環境,2.76
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2021,20代成長環境,2.79
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2022,20代成長環境,2.93
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2023,20代成長環境,3.25
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2024,20代成長環境,2.89
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2025,20代成長環境,3
2025/6/30,東京精密,7729,TOPIX Mid400,a0910000000Frc2,2016,人材の長期育成,1.93
