date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,クチコミ総合評価,2.71
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,クチコミ総合評価,2.59
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,クチコミ総合評価,2.59
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,クチコミ総合評価,2.61
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,クチコミ総合評価,2.82
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,クチコミ総合評価,2.81
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,クチコミ総合評価,2.89
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,クチコミ総合評価,2.95
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,クチコミ総合評価,2.97
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,クチコミ総合評価,3.06
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,待遇面の満足度,2.92
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,待遇面の満足度,2.93
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,待遇面の満足度,2.93
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,待遇面の満足度,3.11
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,待遇面の満足度,3.3
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,待遇面の満足度,3.3
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,待遇面の満足度,3.54
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,待遇面の満足度,3.57
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,待遇面の満足度,3.32
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,待遇面の満足度,3.71
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,社員の士気,2.4
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,社員の士気,2.34
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,社員の士気,2.34
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,社員の士気,2.25
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,社員の士気,2.43
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,社員の士気,2.38
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,社員の士気,2.36
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,社員の士気,2.38
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,社員の士気,2.59
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,社員の士気,2.51
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,風通しの良さ,2.71
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,風通しの良さ,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,風通しの良さ,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,風通しの良さ,2.42
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,風通しの良さ,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,風通しの良さ,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,風通しの良さ,2.59
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,風通しの良さ,2.63
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,風通しの良さ,2.67
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,風通しの良さ,2.7
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,社員の相互尊重,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,社員の相互尊重,2.34
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,社員の相互尊重,2.34
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,社員の相互尊重,2.42
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,社員の相互尊重,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,社員の相互尊重,2.48
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,社員の相互尊重,2.48
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,社員の相互尊重,2.57
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,社員の相互尊重,2.59
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,社員の相互尊重,2.7
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,20代成長環境,2.72
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,20代成長環境,2.47
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,20代成長環境,2.47
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,20代成長環境,2.42
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,20代成長環境,2.64
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,20代成長環境,2.64
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,20代成長環境,2.65
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,20代成長環境,2.75
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,20代成長環境,2.84
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,20代成長環境,2.9
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,人材の長期育成,2.14
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,人材の長期育成,2.01
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,人材の長期育成,2.01
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,人材の長期育成,2.01
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,人材の長期育成,2.12
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,人材の長期育成,2.12
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,人材の長期育成,2.3
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,人材の長期育成,2.38
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,人材の長期育成,2.42
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,人材の長期育成,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,法令順守意識,3.6
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,法令順守意識,3.6
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,法令順守意識,3.6
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,法令順守意識,3.64
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,法令順守意識,4.05
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,法令順守意識,4.05
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,法令順守意識,4.07
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,法令順守意識,4.12
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,法令順守意識,4.1
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,法令順守意識,4.14
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,人事評価の適正感,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,人事評価の適正感,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,人事評価の適正感,2.41
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,人事評価の適正感,2.36
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,人事評価の適正感,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,人事評価の適正感,2.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,人事評価の適正感,2.65
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,人事評価の適正感,2.69
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,人事評価の適正感,2.84
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,人事評価の適正感,2.9
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,有給休暇消化率,71
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,有給休暇消化率,75
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,有給休暇消化率,75
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,有給休暇消化率,76.18
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,有給休暇消化率,73.68
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,有給休暇消化率,76.84
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,有給休暇消化率,75
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,有給休暇消化率,74.69
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,有給休暇消化率,72.92
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,有給休暇消化率,70.5
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2015,残業時間(月間),11.67
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2016,残業時間(月間),10
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2017,残業時間(月間),10
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2018,残業時間(月間),9
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2019,残業時間(月間),19.11
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2020,残業時間(月間),17.53
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2021,残業時間(月間),20.18
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2022,残業時間(月間),21.13
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2023,残業時間(月間),25.42
2025/6/30,マニー,7730,TOPIX Mid400,a0910000000Frc3,2024,残業時間(月間),29.5
